G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",oregon,54,70,-16,54.0,70.0
2,"Sun, Nov 12, 2017",east-carolina,50,76,-42,52.0,73.0
3,"Thu, Nov 16, 2017",cincinnati 12,54,97,-85,52.666666666666664,81.0
4,"Fri, Nov 17, 2017",cleveland-state,56,80,-109,53.5,80.75
5,"Sun, Nov 19, 2017",rutgers,39,64,-134,50.6,77.4
6,"Tue, Nov 21, 2017",central-connecticut-state,71,74,-137,54.0,76.83333333333333
7,"Fri, Dec 1, 2017",ohio,37,80,-180,51.57142857142857,77.28571428571429
8,"Sun, Dec 3, 2017",georgetown,60,76,-196,52.625,77.125
9,"Wed, Dec 6, 2017",navy,53,70,-213,52.666666666666664,76.33333333333333
10,"Sat, Dec 9, 2017",connecticut,59,72,-226,53.3,75.9
11,"Tue, Dec 12, 2017",maryland-baltimore-county,74,81,-233,55.18181818181818,76.36363636363636
12,"Wed, Dec 20, 2017",west-virginia 10,38,77,-272,53.75,76.41666666666667
13,"Fri, Dec 22, 2017",mount-st-marys,53,66,-285,53.69230769230769,75.61538461538461
14,"Wed, Dec 27, 2017",georgia-tech,62,76,-299,54.285714285714285,75.64285714285714
15,"Sat, Dec 30, 2017",penn-state,43,88,-344,53.53333333333333,76.46666666666667
16,"Wed, Jan 3, 2018",norfolk-state,67,75,-352,54.375,76.375
17,"Sat, Jan 6, 2018",savannah-state,71,80,-361,55.35294117647059,76.58823529411765
18,"Mon, Jan 8, 2018",florida-am,79,78,-360,56.666666666666664,76.66666666666667
19,"Sat, Jan 13, 2018",north-carolina-central,61,81,-380,56.89473684210526,76.89473684210526
20,"Mon, Jan 15, 2018",north-carolina-at,47,60,-393,56.4,76.05
21,"Sat, Jan 20, 2018",morgan-state,80,73,-386,57.523809523809526,75.9047619047619
22,"Sat, Jan 27, 2018",south-carolina-state,73,65,-378,58.22727272727273,75.4090909090909
23,"Mon, Jan 29, 2018",maryland-eastern-shore,71,68,-375,58.78260869565217,75.08695652173913
24,"Wed, Jan 31, 2018",hampton,59,70,-386,58.791666666666664,74.875
25,"Sat, Feb 3, 2018",bethune-cookman,60,80,-406,58.84,75.08
26,"Mon, Feb 5, 2018",south-carolina-state,84,60,-382,59.80769230769231,74.5
27,"Mon, Feb 12, 2018",hampton,79,82,-385,60.51851851851852,74.77777777777777
28,"Sat, Feb 17, 2018",bethune-cookman,85,89,-389,61.392857142857146,75.28571428571429
29,"Mon, Feb 19, 2018",delaware-state,51,69,-407,61.03448275862069,75.06896551724138
30,"Mon, Feb 26, 2018",morgan-state,56,69,-420,60.86666666666667,74.86666666666666
31,"Thu, Mar 1, 2018",howard,71,78,-427,61.193548387096776,74.96774193548387
G,Date,opponent,Tm,Opp,-427,61.193548387096776,74.96774193548387
32,"Tue, Mar 6, 2018",north-carolina-central,48,60,-439,60.78125,74.5
