G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",syracuse,45,77,-32,45.0,77.0
2,"Mon, Nov 13, 2017",binghamton,94,84,-22,69.5,80.5
3,"Thu, Nov 16, 2017",colgate,61,72,-33,66.66666666666667,77.66666666666667
4,"Sun, Nov 19, 2017",massachusetts-lowell,78,98,-53,69.5,82.75
5,"Fri, Nov 24, 2017",toledo,80,77,-50,71.6,81.6
6,"Mon, Nov 27, 2017",duquesne,78,71,-43,72.66666666666667,79.83333333333333
7,"Sat, Dec 2, 2017",northeastern,66,84,-61,71.71428571428571,80.42857142857143
8,"Sat, Dec 16, 2017",longwood,69,62,-54,71.375,78.125
9,"Wed, Dec 20, 2017",lafayette,80,71,-45,72.33333333333333,77.33333333333333
10,"Sat, Dec 23, 2017",niagara,86,89,-48,73.7,78.5
11,"Thu, Dec 28, 2017",delaware,96,97,-49,75.72727272727273,80.18181818181819
12,"Sat, Dec 30, 2017",auburn,77,98,-70,75.83333333333333,81.66666666666667
13,"Fri, Jan 5, 2018",central-pennsylvania-college,93,69,-46,77.15384615384616,80.6923076923077
14,"Fri, Jan 12, 2018",pennsylvania,61,69,-54,76.0,79.85714285714286
15,"Sat, Jan 13, 2018",princeton,54,91,-91,74.53333333333333,80.6
16,"Sat, Jan 20, 2018",columbia,62,88,-117,73.75,81.0625
17,"Sat, Jan 27, 2018",columbia,82,81,-116,74.23529411764706,81.05882352941177
18,"Fri, Feb 2, 2018",dartmouth,86,85,-115,74.88888888888889,81.27777777777777
19,"Sat, Feb 3, 2018",harvard,73,76,-118,74.78947368421052,81.0
20,"Fri, Feb 9, 2018",brown,78,60,-100,74.95,79.95
21,"Sat, Feb 10, 2018",yale,65,74,-109,74.47619047619048,79.66666666666667
22,"Fri, Feb 16, 2018",princeton,107,101,-103,75.95454545454545,80.63636363636364
23,"Sat, Feb 17, 2018",pennsylvania,71,79,-111,75.73913043478261,80.56521739130434
24,"Fri, Feb 23, 2018",yale,80,82,-113,75.91666666666667,80.625
25,"Sat, Feb 24, 2018",brown,73,68,-108,75.8,80.12
26,"Fri, Mar 2, 2018",harvard,88,98,-118,76.26923076923077,80.8076923076923
27,"Sat, Mar 3, 2018",dartmouth,86,75,-107,76.62962962962963,80.5925925925926
G,Date,opponent,Tm,Opp,-107,76.62962962962963,80.5925925925926
28,"Sat, Mar 10, 2018",harvard,55,74,-126,75.85714285714286,80.35714285714286
