G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",yale,92,76,16,92.0,76.0
2,"Sun, Nov 12, 2017",alcorn-state,109,72,53,100.5,74.0
3,"Wed, Nov 15, 2017",northwestern 20,92,88,57,97.66666666666667,78.66666666666667
4,"Mon, Nov 20, 2017",californiala 24,100,89,68,98.25,81.25
5,"Tue, Nov 21, 2017",baylor 22,59,65,62,90.4,78.0
6,"Sat, Nov 25, 2017",southern-illinois-edwardsville,103,66,99,92.5,76.0
7,"Fri, Dec 1, 2017",gonzaga 15,74,91,82,89.85714285714286,78.14285714285714
8,"Tue, Dec 5, 2017",north-dakota,111,68,125,92.5,76.875
9,"Sat, Dec 9, 2017",nebraska,75,65,135,90.55555555555556,75.55555555555556
10,"Fri, Dec 15, 2017",maryland-eastern-shore,87,36,186,90.2,71.6
11,"Mon, Dec 18, 2017",texas-arlington,90,81,195,90.18181818181819,72.45454545454545
12,"Wed, Dec 20, 2017",south-carolina-upstate,116,62,249,92.33333333333333,71.58333333333333
13,"Thu, Dec 28, 2017",seton-hall 23,84,90,243,91.6923076923077,73.0
14,"Sun, Dec 31, 2017",providence,83,64,262,91.07142857142857,72.35714285714286
15,"Wed, Jan 3, 2018",st-johns-ny,78,71,269,90.2,72.26666666666667
16,"Sat, Jan 6, 2018",georgetown,90,66,293,90.1875,71.875
17,"Tue, Jan 9, 2018",butler,85,74,304,89.88235294117646,72.0
18,"Sat, Jan 13, 2018",xavier 10,70,92,282,88.77777777777777,73.11111111111111
19,"Wed, Jan 17, 2018",seton-hall 19,80,63,299,88.3157894736842,72.57894736842105
20,"Sat, Jan 20, 2018",providence,71,85,285,87.45,73.2
21,"Tue, Jan 23, 2018",st-johns-ny,68,63,290,86.52380952380952,72.71428571428571
22,"Sat, Jan 27, 2018",georgetown,85,77,298,86.45454545454545,72.9090909090909
23,"Thu, Feb 1, 2018",villanova 1,78,98,278,86.08695652173913,74.0
24,"Wed, Feb 7, 2018",depaul,76,75,279,85.66666666666667,74.04166666666667
25,"Sat, Feb 10, 2018",xavier 5,71,72,278,85.08,73.96
26,"Tue, Feb 13, 2018",bemidji-state,94,46,326,85.42307692307692,72.88461538461539
27,"Sat, Feb 17, 2018",marquette,86,90,322,85.44444444444444,73.51851851851852
28,"Tue, Feb 20, 2018",butler,70,93,299,84.89285714285714,74.21428571428571
29,"Sat, Feb 24, 2018",villanova 3,89,83,305,85.03448275862068,74.51724137931035
30,"Tue, Feb 27, 2018",depaul,82,57,330,84.93333333333334,73.93333333333334
31,"Sat, Mar 3, 2018",marquette,81,85,326,84.80645161290323,74.29032258064517
G,Date,opponent,Tm,Opp,326,84.80645161290323,74.29032258064517
32,"Thu, Mar 8, 2018",providence,68,72,322,84.28125,74.21875
G,Date,opponent,Tm,Opp,322,84.28125,74.21875
33,"Fri, Mar 16, 2018",kansas-state,59,69,312,83.51515151515152,74.06060606060606
