G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",quinnipiac,77,78,-1,77.0,78.0
2,"Tue, Nov 14, 2017",emerson,78,43,34,77.5,60.5
3,"Wed, Nov 22, 2017",albany-ny,73,91,16,76.0,70.66666666666667
4,"Tue, Nov 28, 2017",loyola-md,64,63,17,73.0,68.75
5,"Sat, Dec 2, 2017",canisius,60,73,4,70.4,69.6
6,"Tue, Dec 5, 2017",sacred-heart,73,79,-2,70.83333333333333,71.16666666666667
7,"Fri, Dec 8, 2017",maine,73,66,5,71.14285714285714,70.42857142857143
8,"Fri, Dec 15, 2017",illinois-chicago,60,76,-11,69.75,71.125
9,"Tue, Dec 19, 2017",notre-dame,87,97,-21,71.66666666666667,74.0
10,"Fri, Dec 22, 2017",bryant,75,58,-4,72.0,72.4
11,"Sat, Dec 30, 2017",new-hampshire,66,83,-21,71.45454545454545,73.36363636363636
12,"Sat, Jan 6, 2018",harvard,51,61,-31,69.75,72.33333333333333
13,"Wed, Jan 10, 2018",vermont,78,91,-44,70.38461538461539,73.76923076923077
14,"Sat, Jan 13, 2018",boston-college,72,86,-58,70.5,74.64285714285714
15,"Sat, Jan 20, 2018",harvard,57,62,-63,69.6,73.8
16,"Fri, Jan 26, 2018",brown,62,64,-65,69.125,73.1875
17,"Sat, Jan 27, 2018",yale,64,74,-75,68.82352941176471,73.23529411764706
18,"Fri, Feb 2, 2018",cornell,85,86,-76,69.72222222222223,73.94444444444444
19,"Sat, Feb 3, 2018",columbia,74,77,-79,69.94736842105263,74.10526315789474
20,"Fri, Feb 9, 2018",pennsylvania,61,64,-82,69.5,73.6
21,"Sat, Feb 10, 2018",princeton,72,56,-66,69.61904761904762,72.76190476190476
22,"Fri, Feb 16, 2018",yale,65,77,-78,69.4090909090909,72.95454545454545
23,"Sat, Feb 17, 2018",brown,66,63,-75,69.26086956521739,72.52173913043478
24,"Fri, Feb 23, 2018",pennsylvania,46,74,-103,68.29166666666667,72.58333333333333
25,"Sat, Feb 24, 2018",princeton,47,64,-120,67.44,72.24
26,"Fri, Mar 2, 2018",columbia,80,78,-118,67.92307692307692,72.46153846153847
27,"Sat, Mar 3, 2018",cornell,75,86,-129,68.18518518518519,72.96296296296296
