G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",charleston-southern,110,62,48,110.0,62.0
2,"Tue, Nov 14, 2017",north-carolina-wilmington,108,81,75,109.0,71.5
3,"Tue, Nov 21, 2017",nevada,68,81,62,95.33333333333333,74.66666666666667
4,"Sat, Nov 25, 2017",appalachian-state,62,78,46,87.0,75.5
5,"Tue, Nov 28, 2017",charlotte,85,70,61,86.6,74.4
6,"Fri, Dec 1, 2017",north-carolina 13,75,85,51,84.66666666666667,76.16666666666667
7,"Tue, Dec 5, 2017",virginia-military-institute,74,51,74,83.14285714285714,72.57142857142857
8,"Sat, Dec 16, 2017",virginia 16,60,80,54,80.25,73.5
9,"Fri, Dec 22, 2017",new-mexico-state,68,69,53,78.88888888888889,73.0
10,"Sun, Dec 24, 2017",hawaii,71,79,45,78.1,73.6
11,"Mon, Dec 25, 2017",akron,91,78,58,79.27272727272727,74.0
12,"Sat, Dec 30, 2017",richmond,58,69,47,77.5,73.58333333333333
13,"Wed, Jan 3, 2018",saint-louis,54,51,50,75.6923076923077,71.84615384615384
14,"Sun, Jan 7, 2018",george-mason,86,59,77,76.42857142857143,70.92857142857143
15,"Wed, Jan 10, 2018",george-washington,72,45,104,76.13333333333334,69.2
16,"Sun, Jan 14, 2018",fordham,75,45,134,76.0625,67.6875
17,"Fri, Jan 19, 2018",st-bonaventure,83,73,144,76.47058823529412,68.0
18,"Tue, Jan 23, 2018",dayton,64,65,143,75.77777777777777,67.83333333333333
19,"Sun, Jan 28, 2018",richmond,63,66,140,75.10526315789474,67.73684210526316
20,"Wed, Jan 31, 2018",la-salle,84,65,159,75.55,67.6
21,"Sat, Feb 3, 2018",george-washington,87,58,188,76.0952380952381,67.14285714285714
22,"Tue, Feb 6, 2018",saint-josephs,91,62,217,76.77272727272727,66.9090909090909
23,"Fri, Feb 9, 2018",rhode-island 18,59,72,204,76.0,67.1304347826087
24,"Wed, Feb 14, 2018",virginia-commonwealth,74,63,215,75.91666666666667,66.95833333333333
25,"Sat, Feb 17, 2018",massachusetts,83,78,220,76.2,67.4
26,"Wed, Feb 21, 2018",fordham,76,52,244,76.1923076923077,66.8076923076923
27,"Sat, Feb 24, 2018",duquesne,71,60,255,76.0,66.55555555555556
28,"Tue, Feb 27, 2018",st-bonaventure,113,117,251,77.32142857142857,68.35714285714286
29,"Fri, Mar 2, 2018",rhode-island 17,63,61,253,76.82758620689656,68.10344827586206
G,Date,opponent,Tm,Opp,253,76.82758620689656,68.10344827586206
30,"Fri, Mar 9, 2018",saint-louis,78,60,271,76.86666666666666,67.83333333333333
31,"Sat, Mar 10, 2018",st-bonaventure,82,70,283,77.03225806451613,67.90322580645162
32,"Sun, Mar 11, 2018",rhode-island 25,58,57,284,76.4375,67.5625
G,Date,opponent,Tm,Opp,284,76.4375,67.5625
33,"Thu, Mar 15, 2018",kentucky 18,73,78,279,76.33333333333333,67.87878787878788
