G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",ball-state,78,77,1,78.0,77.0
2,"Thu, Nov 16, 2017",hofstra,69,72,-2,73.5,74.5
3,"Fri, Nov 17, 2017",ohio,79,65,12,75.33333333333333,71.33333333333333
4,"Sun, Nov 19, 2017",old-dominion,67,75,4,73.25,72.25
5,"Sat, Nov 25, 2017",akron,73,60,17,73.2,69.8
6,"Wed, Nov 29, 2017",auburn,60,73,4,71.0,70.33333333333333
7,"Sun, Dec 3, 2017",mississippi-state,59,61,2,69.28571428571429,69.0
8,"Wed, Dec 6, 2017",tennessee-tech,79,66,15,70.5,68.625
9,"Sat, Dec 9, 2017",pennsylvania,70,78,7,70.44444444444444,69.66666666666667
10,"Sat, Dec 16, 2017",georgia-state,88,83,12,72.2,71.0
11,"Tue, Dec 19, 2017",saint-marys-ca,54,69,-3,70.54545454545455,70.81818181818181
12,"Sat, Dec 23, 2017",wagner,79,67,9,71.25,70.5
13,"Sat, Dec 30, 2017",duquesne,62,70,1,70.53846153846153,70.46153846153847
14,"Wed, Jan 3, 2018",st-bonaventure,82,72,11,71.35714285714286,70.57142857142857
15,"Sat, Jan 6, 2018",massachusetts,60,62,9,70.6,70.0
16,"Tue, Jan 9, 2018",richmond,87,81,15,71.625,70.6875
17,"Fri, Jan 12, 2018",virginia-commonwealth,106,79,42,73.6470588235294,71.17647058823529
18,"Wed, Jan 17, 2018",saint-josephs,65,81,26,73.16666666666667,71.72222222222223
19,"Sat, Jan 20, 2018",rhode-island,74,88,12,73.21052631578948,72.57894736842105
20,"Tue, Jan 23, 2018",davidson,65,64,13,72.8,72.15
21,"Sat, Jan 27, 2018",saint-louis,65,75,3,72.42857142857143,72.28571428571429
22,"Sat, Feb 3, 2018",massachusetts,82,86,-1,72.86363636363636,72.9090909090909
23,"Wed, Feb 7, 2018",duquesne,88,73,14,73.52173913043478,72.91304347826087
24,"Sat, Feb 10, 2018",virginia-commonwealth,84,88,10,73.95833333333333,73.54166666666667
25,"Wed, Feb 14, 2018",george-mason,67,85,-8,73.68,74.0
26,"Sat, Feb 17, 2018",fordham,80,70,2,73.92307692307692,73.84615384615384
27,"Tue, Feb 20, 2018",saint-louis,53,50,5,73.14814814814815,72.96296296296296
28,"Fri, Feb 23, 2018",rhode-island 18,56,81,-20,72.53571428571429,73.25
29,"Wed, Feb 28, 2018",la-salle,53,71,-38,71.86206896551724,73.17241379310344
30,"Sat, Mar 3, 2018",george-washington,88,78,-28,72.4,73.33333333333333
G,Date,opponent,Tm,Opp,-28,72.4,73.33333333333333
31,"Thu, Mar 8, 2018",virginia-commonwealth,72,77,-33,72.38709677419355,73.45161290322581
