G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",cairn,71,50,21,71.0,50.0
2,"Mon, Nov 13, 2017",depaul,57,81,-3,64.0,65.5
3,"Wed, Nov 15, 2017",purdue-fort-wayne,71,85,-17,66.33333333333333,72.0
4,"Thu, Nov 16, 2017",illinois-chicago,55,95,-57,63.5,77.75
5,"Mon, Nov 20, 2017",east-tennessee-state,57,81,-81,62.2,78.4
6,"Sat, Nov 25, 2017",georgian-court,68,55,-68,63.166666666666664,74.5
7,"Mon, Nov 27, 2017",troy,64,95,-99,63.285714285714285,77.42857142857143
8,"Wed, Nov 29, 2017",binghamton,64,85,-120,63.375,78.375
9,"Sat, Dec 2, 2017",east-carolina,57,63,-126,62.666666666666664,76.66666666666667
10,"Wed, Dec 6, 2017",maryland-baltimore-county,60,81,-147,62.4,77.1
11,"Sat, Dec 9, 2017",duquesne,48,97,-196,61.09090909090909,78.9090909090909
12,"Sun, Dec 17, 2017",delaware,59,68,-205,60.916666666666664,78.0
13,"Tue, Dec 19, 2017",pittsburgh,68,74,-211,61.46153846153846,77.6923076923077
14,"Fri, Dec 22, 2017",nebraska,68,85,-228,61.92857142857143,78.21428571428571
15,"Wed, Dec 27, 2017",pennsylvania,52,105,-281,61.266666666666666,80.0
16,"Wed, Jan 3, 2018",north-carolina-central,62,65,-284,61.3125,79.0625
17,"Sat, Jan 6, 2018",south-carolina-state,60,63,-287,61.23529411764706,78.11764705882354
18,"Mon, Jan 8, 2018",north-carolina-at,66,76,-297,61.5,78.0
19,"Fri, Jan 12, 2018",hampton,56,78,-319,61.21052631578947,78.0
20,"Mon, Jan 15, 2018",florida-am,89,94,-324,62.6,78.8
21,"Sat, Jan 20, 2018",bethune-cookman,78,85,-331,63.333333333333336,79.0952380952381
22,"Mon, Jan 22, 2018",morgan-state,47,61,-345,62.59090909090909,78.27272727272727
23,"Sat, Jan 27, 2018",savannah-state,86,106,-365,63.608695652173914,79.47826086956522
24,"Sat, Feb 3, 2018",north-carolina-central,61,72,-376,63.5,79.16666666666667
25,"Mon, Feb 5, 2018",north-carolina-at,51,54,-379,63.0,78.16
26,"Mon, Feb 12, 2018",norfolk-state,58,93,-414,62.80769230769231,78.73076923076923
27,"Sat, Feb 17, 2018",florida-am,63,66,-417,62.81481481481482,78.25925925925925
28,"Mon, Feb 19, 2018",coppin-state,69,51,-399,63.035714285714285,77.28571428571429
29,"Sat, Feb 24, 2018",howard,74,93,-418,63.41379310344828,77.82758620689656
30,"Mon, Feb 26, 2018",maryland-eastern-shore,47,59,-430,62.86666666666667,77.2
31,"Thu, Mar 1, 2018",morgan-state,87,80,-423,63.645161290322584,77.29032258064517
G,Date,opponent,Tm,Opp,-423,63.645161290322584,77.29032258064517
32,"Mon, Mar 5, 2018",north-carolina-at,61,62,-424,63.5625,76.8125
