G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",richmond,76,63,13,76.0,63.0
2,"Tue, Nov 14, 2017",bradley,53,61,5,64.5,62.0
3,"Fri, Nov 17, 2017",wesley,93,78,20,74.0,67.33333333333333
4,"Mon, Nov 20, 2017",north-carolina-greensboro,66,79,7,72.0,70.25
5,"Tue, Nov 21, 2017",north-carolina-wesleyan,88,70,25,75.2,70.2
6,"Wed, Nov 22, 2017",longwood,65,57,33,73.5,68.0
7,"Mon, Nov 27, 2017",yale,66,76,23,72.42857142857143,69.14285714285714
8,"Fri, Dec 1, 2017",navy,76,82,17,72.875,70.75
9,"Wed, Dec 6, 2017",buffalo,72,75,14,72.77777777777777,71.22222222222223
10,"Sat, Dec 9, 2017",notre-dame 9,68,92,-10,72.3,73.3
11,"Sun, Dec 17, 2017",delaware-state,68,59,-1,71.9090909090909,72.0
12,"Wed, Dec 20, 2017",cal-state-bakersfield,76,62,13,72.25,71.16666666666667
13,"Thu, Dec 28, 2017",cornell,97,96,14,74.15384615384616,73.07692307692308
14,"Sat, Dec 30, 2017",north-carolina-wilmington,58,56,16,73.0,71.85714285714286
15,"Tue, Jan 2, 2018",college-of-charleston,78,93,1,73.33333333333333,73.26666666666667
16,"Fri, Jan 5, 2018",william-mary,65,90,-24,72.8125,74.3125
17,"Sun, Jan 7, 2018",north-carolina-wilmington,96,76,-4,74.17647058823529,74.41176470588235
18,"Thu, Jan 11, 2018",drexel,72,66,2,74.05555555555556,73.94444444444444
19,"Sat, Jan 13, 2018",james-madison,61,60,3,73.36842105263158,73.21052631578948
20,"Thu, Jan 18, 2018",hofstra,63,90,-24,72.85,74.05
21,"Sat, Jan 20, 2018",northeastern,64,76,-36,72.42857142857143,74.14285714285714
22,"Thu, Jan 25, 2018",college-of-charleston,54,62,-44,71.5909090909091,73.5909090909091
23,"Sat, Jan 27, 2018",hofstra,59,64,-49,71.04347826086956,73.17391304347827
24,"Thu, Feb 1, 2018",towson,71,75,-53,71.04166666666667,73.25
25,"Sat, Feb 3, 2018",elon,76,89,-66,71.24,73.88
26,"Thu, Feb 8, 2018",northeastern,67,70,-69,71.07692307692308,73.73076923076923
27,"Sat, Feb 10, 2018",william-mary,66,83,-86,70.88888888888889,74.07407407407408
28,"Thu, Feb 15, 2018",towson,65,67,-88,70.67857142857143,73.82142857142857
29,"Sat, Feb 17, 2018",elon,72,57,-73,70.72413793103448,73.24137931034483
30,"Thu, Feb 22, 2018",drexel,83,85,-75,71.13333333333334,73.63333333333334
31,"Sat, Feb 24, 2018",james-madison,68,66,-73,71.03225806451613,73.38709677419355
G,Date,opponent,Tm,Opp,-73,71.03225806451613,73.38709677419355
32,"Sat, Mar 3, 2018",elon,86,79,-66,71.5,73.5625
33,"Sun, Mar 4, 2018",northeastern,50,74,-90,70.84848484848484,73.57575757575758
