G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 12, 2017",california-irvine,69,83,-14,69.0,83.0
2,"Tue, Nov 14, 2017",colorado,62,89,-41,65.5,86.0
3,"Thu, Nov 16, 2017",johnson--wales,91,59,-9,74.0,77.0
4,"Fri, Nov 24, 2017",florida-gulf-coast,71,79,-17,73.25,77.5
5,"Sat, Nov 25, 2017",st-francis-ny,60,50,-7,70.6,72.0
6,"Sun, Nov 26, 2017",navy,71,79,-15,70.66666666666667,73.16666666666667
7,"Wed, Nov 29, 2017",wyoming,88,78,-5,73.14285714285714,73.85714285714286
8,"Sat, Dec 2, 2017",air-force,59,61,-7,71.375,72.25
9,"Tue, Dec 5, 2017",san-jose-state,58,56,-5,69.88888888888889,70.44444444444444
10,"Sat, Dec 9, 2017",south-carolina-upstate,84,69,10,71.3,70.3
11,"Wed, Dec 13, 2017",northern-colorado,63,83,-10,70.54545454545455,71.45454545454545
12,"Fri, Dec 15, 2017",stanford,62,75,-23,69.83333333333333,71.75
13,"Mon, Dec 18, 2017",montana-state,65,79,-37,69.46153846153847,72.3076923076923
14,"Thu, Dec 28, 2017",colorado-mesa,106,60,9,72.07142857142857,71.42857142857143
15,"Sat, Dec 30, 2017",south-dakota,71,82,-2,72.0,72.13333333333334
16,"Sat, Jan 6, 2018",purdue-fort-wayne,63,82,-21,71.4375,72.75
17,"Thu, Jan 11, 2018",north-dakota-state,67,61,-15,71.17647058823529,72.05882352941177
18,"Sat, Jan 13, 2018",south-dakota-state,72,94,-37,71.22222222222223,73.27777777777777
19,"Thu, Jan 18, 2018",nebraska-omaha,80,86,-43,71.6842105263158,73.94736842105263
20,"Sat, Jan 20, 2018",oral-roberts,73,64,-34,71.75,73.45
21,"Thu, Jan 25, 2018",western-illinois,70,58,-22,71.66666666666667,72.71428571428571
22,"Sat, Jan 27, 2018",south-dakota,84,68,-6,72.22727272727273,72.5
23,"Sat, Feb 3, 2018",purdue-fort-wayne,63,91,-34,71.82608695652173,73.30434782608695
24,"Thu, Feb 8, 2018",south-dakota-state,77,81,-38,72.04166666666667,73.625
25,"Sat, Feb 10, 2018",north-dakota-state,66,63,-35,71.8,73.2
26,"Wed, Feb 14, 2018",nebraska-omaha,94,78,-19,72.65384615384616,73.38461538461539
27,"Sun, Feb 18, 2018",oral-roberts,66,65,-18,72.4074074074074,73.07407407407408
28,"Sat, Feb 24, 2018",western-illinois,89,52,19,73.0,72.32142857142857
G,Date,opponent,Tm,Opp,19,73.0,72.32142857142857
29,"Sun, Mar 4, 2018",oral-roberts,90,88,21,73.58620689655173,72.86206896551724
30,"Mon, Mar 5, 2018",south-dakota,58,76,3,73.06666666666666,72.96666666666667
