G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",notre-dame 14,58,72,-14,58.0,72.0
2,"Mon, Nov 13, 2017",delaware-state,81,57,10,69.5,64.5
3,"Fri, Nov 17, 2017",illinois,73,82,1,70.66666666666667,70.33333333333333
4,"Thu, Nov 23, 2017",michigan-state 4,51,73,-21,65.75,71.0
5,"Fri, Nov 24, 2017",oregon,79,89,-31,68.4,74.6
6,"Sun, Nov 26, 2017",portland,82,69,-18,70.66666666666667,73.66666666666667
7,"Sat, Dec 2, 2017",youngstown-state,89,73,-2,73.28571428571429,73.57142857142857
8,"Wed, Dec 6, 2017",central-connecticut-state,85,57,26,74.75,71.5
9,"Sat, Dec 9, 2017",illinois-chicago,65,55,36,73.66666666666667,69.66666666666667
10,"Mon, Dec 11, 2017",alabama-am,83,59,60,74.6,68.6
11,"Sat, Dec 16, 2017",northwestern,60,62,58,73.27272727272727,68.0
12,"Thu, Dec 21, 2017",miami-oh,83,66,75,74.08333333333333,67.83333333333333
13,"Wed, Dec 27, 2017",villanova 1,85,103,57,74.92307692307692,70.53846153846153
14,"Sat, Dec 30, 2017",xavier 6,72,77,52,74.71428571428571,71.0
15,"Tue, Jan 2, 2018",georgetown,81,90,43,75.13333333333334,72.26666666666667
16,"Sat, Jan 6, 2018",st-johns-ny,91,74,60,76.125,72.375
17,"Fri, Jan 12, 2018",providence,64,71,53,75.41176470588235,72.29411764705883
18,"Mon, Jan 15, 2018",marquette,52,70,35,74.11111111111111,72.16666666666667
19,"Sat, Jan 20, 2018",butler,67,79,23,73.73684210526316,72.52631578947368
20,"Wed, Jan 24, 2018",georgetown,74,73,24,73.75,72.55
21,"Sun, Jan 28, 2018",seton-hall,70,86,8,73.57142857142857,73.19047619047619
22,"Sat, Feb 3, 2018",butler,57,80,-15,72.81818181818181,73.5
23,"Wed, Feb 7, 2018",creighton,75,76,-16,72.91304347826087,73.6086956521739
24,"Sat, Feb 10, 2018",providence,80,63,1,73.20833333333333,73.16666666666667
25,"Wed, Feb 14, 2018",st-johns-ny,76,77,0,73.32,73.32
26,"Sun, Feb 18, 2018",seton-hall,77,82,-5,73.46153846153847,73.65384615384616
27,"Wed, Feb 21, 2018",villanova 3,62,93,-36,73.03703703703704,74.37037037037037
28,"Sat, Feb 24, 2018",marquette,70,62,-28,72.92857142857143,73.92857142857143
29,"Tue, Feb 27, 2018",creighton,57,82,-53,72.37931034482759,74.20689655172414
30,"Sat, Mar 3, 2018",xavier 3,62,65,-56,72.03333333333333,73.9
G,Date,opponent,Tm,Opp,-56,72.03333333333333,73.9
31,"Wed, Mar 7, 2018",marquette,69,72,-59,71.93548387096774,73.83870967741936
