G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",virginia-tech,79,111,-32,79.0,111.0
2,"Mon, Nov 13, 2017",michigan-dearborn,105,82,-9,92.0,96.5
3,"Sat, Nov 18, 2017",seattle,71,102,-40,85.0,98.33333333333333
4,"Sun, Nov 19, 2017",houston-baptist,116,109,-33,92.75,101.0
5,"Wed, Nov 22, 2017",saint-louis,72,70,-31,88.6,94.8
6,"Sat, Nov 25, 2017",siena-heights,131,69,31,95.66666666666667,90.5
7,"Tue, Nov 28, 2017",purdue-fort-wayne,82,91,22,93.71428571428571,90.57142857142857
8,"Sun, Dec 3, 2017",ucla,73,106,-11,91.125,92.5
9,"Wed, Dec 6, 2017",toledo,86,89,-14,90.55555555555556,92.11111111111111
10,"Sat, Dec 9, 2017",western-michigan,79,87,-22,89.4,91.6
11,"Sat, Dec 16, 2017",michigan,58,90,-54,86.54545454545455,91.45454545454545
12,"Tue, Dec 19, 2017",east-tennessee-state,73,81,-62,85.41666666666667,90.58333333333333
13,"Fri, Dec 22, 2017",murray-state,72,81,-71,84.38461538461539,89.84615384615384
14,"Thu, Dec 28, 2017",green-bay,83,95,-83,84.28571428571429,90.21428571428571
15,"Sat, Dec 30, 2017",milwaukee,79,87,-91,83.93333333333334,90.0
16,"Fri, Jan 5, 2018",wright-state,73,80,-98,83.25,89.375
17,"Sun, Jan 7, 2018",northern-kentucky,54,56,-100,81.52941176470588,87.41176470588235
18,"Wed, Jan 10, 2018",cleveland-state,85,84,-99,81.72222222222223,87.22222222222223
19,"Fri, Jan 12, 2018",youngstown-state,93,91,-97,82.3157894736842,87.42105263157895
20,"Tue, Jan 16, 2018",iupui,66,81,-112,81.5,87.1
21,"Sat, Jan 20, 2018",oakland,86,92,-118,81.71428571428571,87.33333333333333
22,"Fri, Jan 26, 2018",wright-state,55,87,-150,80.5,87.31818181818181
23,"Sun, Jan 28, 2018",northern-kentucky,44,72,-178,78.91304347826087,86.65217391304348
24,"Fri, Feb 2, 2018",iupui,74,60,-164,78.70833333333333,85.54166666666667
25,"Sun, Feb 4, 2018",illinois-chicago,69,78,-173,78.32,85.24
26,"Fri, Feb 9, 2018",oakland,78,87,-182,78.3076923076923,85.3076923076923
27,"Wed, Feb 14, 2018",cleveland-state,72,75,-185,78.07407407407408,84.92592592592592
28,"Fri, Feb 16, 2018",youngstown-state,94,84,-175,78.64285714285714,84.89285714285714
29,"Mon, Feb 19, 2018",illinois-chicago,87,94,-182,78.93103448275862,85.20689655172414
30,"Thu, Feb 22, 2018",milwaukee,49,72,-205,77.93333333333334,84.76666666666667
31,"Sat, Feb 24, 2018",green-bay,97,107,-215,78.54838709677419,85.48387096774194
G,Date,opponent,Tm,Opp,-215,78.54838709677419,85.48387096774194
32,"Fri, Mar 2, 2018",green-bay,81,93,-227,78.625,85.71875
