G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",coe,101,54,47,101.0,54.0
2,"Fri, Nov 17, 2017",wake-forest,77,74,50,89.0,64.0
3,"Sat, Nov 18, 2017",colorado,81,86,45,86.33333333333333,71.33333333333333
4,"Sun, Nov 19, 2017",drexel,90,88,47,87.25,75.5
5,"Sun, Nov 26, 2017",chicago-state,79,67,59,85.6,73.8
6,"Wed, Nov 29, 2017",nebraska-omaha,73,75,57,83.5,74.0
7,"Sat, Dec 2, 2017",wyoming,89,96,50,84.28571428571429,77.14285714285714
8,"Wed, Dec 6, 2017",south-dakota,65,93,22,81.875,79.125
9,"Sat, Dec 9, 2017",nebraska-omaha,93,74,41,83.11111111111111,78.55555555555556
10,"Mon, Dec 11, 2017",minnesota,67,68,40,81.5,77.5
11,"Sat, Dec 16, 2017",iowa,64,90,14,79.9090909090909,78.63636363636364
12,"Tue, Dec 19, 2017",south-dakota-state,74,87,1,79.41666666666667,79.33333333333333
13,"Fri, Dec 22, 2017",maryland-eastern-shore,81,57,25,79.53846153846153,77.61538461538461
14,"Thu, Dec 28, 2017",bradley,66,64,27,78.57142857142857,76.64285714285714
15,"Sun, Dec 31, 2017",southern-illinois,70,67,30,78.0,76.0
16,"Wed, Jan 3, 2018",illinois-state,87,62,55,78.5625,75.125
17,"Sat, Jan 6, 2018",indiana-state,75,72,58,78.3529411764706,74.94117647058823
18,"Wed, Jan 10, 2018",valparaiso,60,77,41,77.33333333333333,75.05555555555556
19,"Sat, Jan 13, 2018",evansville,81,65,57,77.52631578947368,74.52631578947368
20,"Tue, Jan 16, 2018",northern-iowa,54,68,43,76.35,74.2
21,"Sat, Jan 20, 2018",missouri-state,61,58,46,75.61904761904762,73.42857142857143
22,"Wed, Jan 24, 2018",loyola-il,57,80,23,74.77272727272727,73.72727272727273
23,"Sat, Jan 27, 2018",evansville,73,77,19,74.69565217391305,73.8695652173913
24,"Tue, Jan 30, 2018",southern-illinois,67,78,8,74.375,74.04166666666667
25,"Sat, Feb 3, 2018",bradley,78,68,18,74.52,73.8
26,"Wed, Feb 7, 2018",loyola-il,57,72,3,73.84615384615384,73.73076923076923
27,"Sat, Feb 10, 2018",northern-iowa,71,64,10,73.74074074074075,73.37037037037037
28,"Wed, Feb 14, 2018",indiana-state,90,76,24,74.32142857142857,73.46428571428571
29,"Sun, Feb 18, 2018",missouri-state,67,63,28,74.06896551724138,73.10344827586206
30,"Wed, Feb 21, 2018",illinois-state,81,89,20,74.3,73.63333333333334
31,"Sat, Feb 24, 2018",valparaiso,64,69,15,73.96774193548387,73.48387096774194
G,Date,opponent,Tm,Opp,15,73.96774193548387,73.48387096774194
32,"Fri, Mar 2, 2018",bradley,61,63,13,73.5625,73.15625
G,Date,opponent,Tm,Opp,13,73.5625,73.15625
33,"Mon, Mar 12, 2018",abilene-christian,80,73,20,73.75757575757575,73.15151515151516
34,"Sun, Mar 18, 2018",northern-colorado,72,81,11,73.70588235294117,73.38235294117646
