G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",bowling-green-state,69,78,-9,69.0,78.0
2,"Mon, Nov 13, 2017",arcadia,95,81,5,82.0,79.5
3,"Fri, Nov 17, 2017",houston,84,80,9,82.66666666666667,79.66666666666667
4,"Sat, Nov 18, 2017",mercer,59,78,-10,76.75,79.25
5,"Sun, Nov 19, 2017",drake,88,90,-12,79.0,81.4
6,"Sat, Nov 25, 2017",njit,53,65,-24,74.66666666666667,78.66666666666667
7,"Wed, Nov 29, 2017",lafayette,68,67,-23,73.71428571428571,77.0
8,"Sat, Dec 2, 2017",rider,89,77,-11,75.625,77.0
9,"Thu, Dec 7, 2017",la-salle,72,70,-9,75.22222222222223,76.22222222222223
10,"Sun, Dec 10, 2017",robert-morris,60,74,-23,73.7,76.0
11,"Sat, Dec 16, 2017",temple,60,63,-26,72.45454545454545,74.81818181818181
12,"Mon, Dec 18, 2017",quinnipiac,72,71,-25,72.41666666666667,74.5
13,"Thu, Dec 21, 2017",loyola-md,62,66,-29,71.61538461538461,73.84615384615384
14,"Sat, Dec 30, 2017",elon,75,90,-44,71.85714285714286,75.0
15,"Tue, Jan 2, 2018",north-carolina-wilmington,87,107,-64,72.86666666666666,77.13333333333334
16,"Fri, Jan 5, 2018",college-of-charleston,87,82,-59,73.75,77.4375
17,"Sun, Jan 7, 2018",william-mary,63,85,-81,73.11764705882354,77.88235294117646
18,"Thu, Jan 11, 2018",delaware,66,72,-87,72.72222222222223,77.55555555555556
19,"Sat, Jan 13, 2018",hofstra,86,91,-92,73.42105263157895,78.26315789473684
20,"Thu, Jan 18, 2018",towson,68,90,-114,73.15,78.85
21,"Sat, Jan 20, 2018",james-madison,73,75,-116,73.14285714285714,78.66666666666667
22,"Thu, Jan 25, 2018",elon,83,79,-112,73.5909090909091,78.68181818181819
23,"Sat, Jan 27, 2018",northeastern,68,67,-111,73.34782608695652,78.17391304347827
24,"Thu, Feb 1, 2018",james-madison,76,74,-109,73.45833333333333,78.0
25,"Sat, Feb 3, 2018",william-mary,91,79,-97,74.16,78.04
26,"Thu, Feb 8, 2018",towson,92,94,-99,74.84615384615384,78.65384615384616
27,"Sat, Feb 10, 2018",college-of-charleston,67,89,-121,74.55555555555556,79.03703703703704
28,"Thu, Feb 15, 2018",northeastern,69,75,-127,74.35714285714286,78.89285714285714
29,"Sat, Feb 17, 2018",hofstra,76,88,-139,74.41379310344827,79.20689655172414
30,"Thu, Feb 22, 2018",delaware,85,83,-137,74.76666666666667,79.33333333333333
31,"Sat, Feb 24, 2018",north-carolina-wilmington,82,83,-138,75.0,79.45161290322581
G,Date,opponent,Tm,Opp,-138,75.0,79.45161290322581
32,"Sat, Mar 3, 2018",james-madison,70,62,-130,74.84375,78.90625
33,"Sun, Mar 4, 2018",college-of-charleston,59,66,-137,74.36363636363636,78.51515151515152
