G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",elon,97,68,29,97.0,68.0
2,"Sat, Nov 11, 2017",utah-valley,99,69,59,98.0,68.5
3,"Tue, Nov 14, 2017",michigan-state 2,88,81,66,94.66666666666667,72.66666666666667
4,"Fri, Nov 17, 2017",southern,78,61,83,90.5,69.75
5,"Mon, Nov 20, 2017",furman,92,63,112,90.8,68.4
6,"Thu, Nov 23, 2017",portland-state,99,81,130,92.16666666666667,70.5
7,"Fri, Nov 24, 2017",texas,85,78,137,91.14285714285714,71.57142857142857
8,"Sun, Nov 26, 2017",florida 7,87,84,140,90.625,73.125
9,"Wed, Nov 29, 2017",indiana,91,81,150,90.66666666666667,74.0
10,"Sat, Dec 2, 2017",south-dakota,96,80,166,91.2,74.6
11,"Tue, Dec 5, 2017",saint-francis-pa,124,67,223,94.18181818181819,73.9090909090909
12,"Sat, Dec 9, 2017",boston-college,84,89,218,93.33333333333333,75.16666666666667
13,"Wed, Dec 20, 2017",evansville,104,40,282,94.15384615384616,72.46153846153847
14,"Sat, Dec 30, 2017",florida-state 24,100,93,289,94.57142857142857,73.92857142857143
15,"Sat, Jan 6, 2018",north-carolina-state,85,96,278,93.93333333333334,75.4
16,"Wed, Jan 10, 2018",pittsburgh,87,52,313,93.5,73.9375
17,"Sat, Jan 13, 2018",wake-forest,89,71,331,93.23529411764706,73.76470588235294
18,"Mon, Jan 15, 2018",miami-fl 25,83,75,339,92.66666666666667,73.83333333333333
19,"Sat, Jan 20, 2018",pittsburgh,81,54,366,92.05263157894737,72.78947368421052
20,"Tue, Jan 23, 2018",wake-forest,84,70,380,91.65,72.65
21,"Sat, Jan 27, 2018",virginia 2,63,65,378,90.28571428571429,72.28571428571429
22,"Mon, Jan 29, 2018",notre-dame,88,66,400,90.18181818181819,72.0
23,"Sat, Feb 3, 2018",st-johns-ny,77,81,396,89.6086956521739,72.3913043478261
24,"Thu, Feb 8, 2018",north-carolina 21,78,82,392,89.125,72.79166666666667
25,"Sun, Feb 11, 2018",georgia-tech,80,69,403,88.76,72.64
26,"Wed, Feb 14, 2018",virginia-tech,74,52,425,88.1923076923077,71.84615384615384
27,"Sun, Feb 18, 2018",clemson 11,66,57,434,87.37037037037037,71.29629629629629
28,"Wed, Feb 21, 2018",louisville,82,56,460,87.17857142857143,70.75
29,"Sat, Feb 24, 2018",syracuse,60,44,476,86.24137931034483,69.82758620689656
30,"Mon, Feb 26, 2018",virginia-tech,63,64,475,85.46666666666667,69.63333333333334
31,"Sat, Mar 3, 2018",north-carolina 9,74,64,485,85.09677419354838,69.45161290322581
G,Date,opponent,Tm,Opp,485,85.09677419354838,69.45161290322581
32,"Thu, Mar 8, 2018",notre-dame,88,70,503,85.1875,69.46875
33,"Fri, Mar 9, 2018",north-carolina 12,69,74,498,84.6969696969697,69.60606060606061
G,Date,opponent,Tm,Opp,498,84.6969696969697,69.60606060606061
34,"Thu, Mar 15, 2018",iona,89,67,520,84.82352941176471,69.52941176470588
35,"Sat, Mar 17, 2018",rhode-island,87,62,545,84.88571428571429,69.31428571428572
36,"Fri, Mar 23, 2018",syracuse,69,65,549,84.44444444444444,69.19444444444444
37,"Sun, Mar 25, 2018",kansas 4,81,85,545,84.35135135135135,69.62162162162163
