G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",st-francis-ny,80,70,10,80.0,70.0
2,"Tue, Nov 14, 2017",virginia-military-institute,77,61,26,78.5,65.5
3,"Sun, Nov 19, 2017",robert-morris,59,66,19,72.0,65.66666666666667
4,"Mon, Nov 27, 2017",cornell,71,78,12,71.75,68.75
5,"Fri, Dec 1, 2017",pittsburgh,64,76,0,70.2,70.2
6,"Mon, Dec 4, 2017",maryland-eastern-shore,86,61,25,72.83333333333333,68.66666666666667
7,"Wed, Dec 6, 2017",stetson,73,59,39,72.85714285714286,67.28571428571429
8,"Sat, Dec 9, 2017",delaware-state,97,48,88,75.875,64.875
9,"Wed, Dec 13, 2017",mississippi-valley-state,73,49,112,75.55555555555556,63.111111111111114
10,"Sun, Dec 17, 2017",north-carolina-at,74,58,128,75.4,62.6
11,"Tue, Dec 19, 2017",lamar,65,64,129,74.45454545454545,62.72727272727273
12,"Fri, Dec 22, 2017",san-francisco,67,65,131,73.83333333333333,62.916666666666664
13,"Sat, Dec 23, 2017",southern-illinois,64,74,121,73.07692307692308,63.76923076923077
14,"Sat, Dec 30, 2017",dayton,70,62,129,72.85714285714286,63.642857142857146
15,"Wed, Jan 3, 2018",george-washington,69,52,146,72.6,62.86666666666667
16,"Sat, Jan 6, 2018",fordham,64,41,169,72.0625,61.5
17,"Tue, Jan 9, 2018",virginia-commonwealth,67,78,158,71.76470588235294,62.470588235294116
18,"Sat, Jan 13, 2018",la-salle,101,94,165,73.38888888888889,64.22222222222223
19,"Wed, Jan 17, 2018",saint-louis,63,76,152,72.84210526315789,64.84210526315789
20,"Sat, Jan 20, 2018",george-mason,95,89,158,73.95,66.05
21,"Wed, Jan 24, 2018",richmond,73,77,154,73.9047619047619,66.57142857142857
22,"Sat, Jan 27, 2018",rhode-island 24,58,61,151,73.18181818181819,66.31818181818181
23,"Wed, Jan 31, 2018",george-washington,75,73,153,73.26086956521739,66.6086956521739
24,"Sat, Feb 3, 2018",st-bonaventure,81,84,150,73.58333333333333,67.33333333333333
25,"Wed, Feb 7, 2018",dayton,73,88,135,73.56,68.16
26,"Sat, Feb 10, 2018",fordham,57,80,112,72.92307692307692,68.61538461538461
27,"Sat, Feb 17, 2018",saint-josephs,75,82,105,73.0,69.11111111111111
28,"Wed, Feb 21, 2018",st-bonaventure,67,73,99,72.78571428571429,69.25
29,"Sat, Feb 24, 2018",davidson,60,71,88,72.34482758620689,69.3103448275862
30,"Wed, Feb 28, 2018",saint-louis,76,69,95,72.46666666666667,69.3
31,"Sat, Mar 3, 2018",massachusetts,75,85,85,72.54838709677419,69.80645161290323
G,Date,opponent,Tm,Opp,85,72.54838709677419,69.80645161290323
32,"Thu, Mar 8, 2018",richmond,68,81,72,72.40625,70.15625
