G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 12, 2017",coppin-state,76,50,26,76.0,50.0
2,"Wed, Nov 15, 2017",radford,66,73,19,71.0,61.5
3,"Fri, Nov 17, 2017",central-connecticut-state,68,79,8,70.0,67.33333333333333
4,"Mon, Nov 20, 2017",cleveland-state,72,69,11,70.5,67.75
5,"Fri, Nov 24, 2017",rutgers,47,61,-3,65.8,66.4
6,"Sun, Nov 26, 2017",north-carolina-at,81,87,-9,68.33333333333333,69.83333333333333
7,"Thu, Nov 30, 2017",north-carolina-wilmington,93,88,-4,71.85714285714286,72.42857142857143
8,"Sat, Dec 2, 2017",delaware-state,63,57,2,70.75,70.5
9,"Mon, Dec 4, 2017",campbell,69,66,5,70.55555555555556,70.0
10,"Mon, Dec 18, 2017",charlotte,50,69,-14,68.5,69.9
11,"Thu, Dec 21, 2017",grambling,76,68,-6,69.18181818181819,69.72727272727273
12,"Thu, Dec 28, 2017",tulsa,53,79,-32,67.83333333333333,70.5
13,"Sun, Dec 31, 2017",central-florida,39,59,-52,65.61538461538461,69.61538461538461
14,"Wed, Jan 3, 2018",south-florida,67,65,-50,65.71428571428571,69.28571428571429
15,"Sat, Jan 6, 2018",connecticut,65,70,-55,65.66666666666667,69.33333333333333
16,"Thu, Jan 11, 2018",wichita-state 6,60,95,-90,65.3125,70.9375
17,"Sun, Jan 14, 2018",houston,49,65,-106,64.3529411764706,70.58823529411765
18,"Wed, Jan 17, 2018",south-florida,90,52,-68,65.77777777777777,69.55555555555556
19,"Sat, Jan 20, 2018",cincinnati 12,60,86,-94,65.47368421052632,70.42105263157895
20,"Sun, Jan 28, 2018",southern-methodist,61,86,-119,65.25,71.2
21,"Wed, Jan 31, 2018",tulane,69,71,-121,65.42857142857143,71.19047619047619
22,"Sat, Feb 3, 2018",memphis,88,85,-118,66.45454545454545,71.81818181818181
23,"Wed, Feb 7, 2018",temple,73,90,-135,66.73913043478261,72.6086956521739
24,"Wed, Feb 14, 2018",tulane,82,80,-133,67.375,72.91666666666667
25,"Sun, Feb 18, 2018",connecticut,80,84,-137,67.88,73.36
26,"Wed, Feb 21, 2018",southern-methodist,58,77,-156,67.5,73.5
27,"Sun, Feb 25, 2018",houston 23,58,109,-207,67.14814814814815,74.81481481481481
28,"Thu, Mar 1, 2018",tulsa,58,72,-221,66.82142857142857,74.71428571428571
29,"Sun, Mar 4, 2018",memphis,70,90,-241,66.93103448275862,75.24137931034483
G,Date,opponent,Tm,Opp,-241,66.93103448275862,75.24137931034483
30,"Thu, Mar 8, 2018",central-florida,52,66,-255,66.43333333333334,74.93333333333334
