G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",northern-kentucky,63,81,-18,63.0,81.0
2,"Mon, Nov 13, 2017",savannah-state,76,61,-3,69.5,71.0
3,"Fri, Nov 17, 2017",kentucky 7,61,78,-20,66.66666666666667,73.33333333333333
4,"Mon, Nov 20, 2017",delaware-state,81,57,4,70.25,69.25
5,"Wed, Nov 22, 2017",troy,65,73,-4,69.2,70.0
6,"Sat, Nov 25, 2017",purdue-fort-wayne,83,73,6,71.5,70.5
7,"Wed, Nov 29, 2017",fordham,82,77,11,73.0,71.42857142857143
8,"Wed, Dec 6, 2017",northern-kentucky,84,71,24,74.375,71.375
9,"Sun, Dec 10, 2017",hiwassee,94,48,70,76.55555555555556,68.77777777777777
10,"Sat, Dec 16, 2017",xavier 10,66,68,68,75.5,68.7
11,"Tue, Dec 19, 2017",detroit-mercy,81,73,76,76.0,69.0909090909091
12,"Fri, Dec 22, 2017",georgia-southern,79,59,96,76.25,68.25
13,"Thu, Dec 28, 2017",tusculum,84,65,115,76.84615384615384,68.0
14,"Sun, Dec 31, 2017",mercer,74,55,134,76.64285714285714,67.07142857142857
15,"Thu, Jan 4, 2018",samford,90,72,152,77.53333333333333,67.4
16,"Sat, Jan 6, 2018",chattanooga,85,66,171,78.0,67.3125
17,"Thu, Jan 11, 2018",north-carolina-greensboro,68,58,181,77.41176470588235,66.76470588235294
18,"Sat, Jan 13, 2018",virginia-military-institute,89,48,222,78.05555555555556,65.72222222222223
19,"Thu, Jan 18, 2018",furman,62,61,223,77.21052631578948,65.47368421052632
20,"Sat, Jan 20, 2018",western-carolina,66,50,239,76.65,64.7
21,"Wed, Jan 24, 2018",mercer,84,75,248,77.0,65.19047619047619
22,"Sat, Jan 27, 2018",wofford,75,62,261,76.9090909090909,65.04545454545455
23,"Mon, Jan 29, 2018",citadel,73,71,263,76.73913043478261,65.30434782608695
24,"Thu, Feb 1, 2018",samford,96,76,283,77.54166666666667,65.75
25,"Sat, Feb 3, 2018",chattanooga,81,61,303,77.68,65.56
26,"Sat, Feb 10, 2018",virginia-military-institute,70,56,317,77.38461538461539,65.1923076923077
27,"Mon, Feb 12, 2018",north-carolina-greensboro,56,74,299,76.5925925925926,65.51851851851852
28,"Sat, Feb 17, 2018",western-carolina,72,61,310,76.42857142857143,65.35714285714286
29,"Tue, Feb 20, 2018",citadel,82,84,308,76.62068965517241,66.0
30,"Fri, Feb 23, 2018",wofford,71,75,304,76.43333333333334,66.3
31,"Sun, Feb 25, 2018",furman,76,79,301,76.41935483870968,66.70967741935483
G,Date,opponent,Tm,Opp,301,76.41935483870968,66.70967741935483
32,"Sat, Mar 3, 2018",chattanooga,77,59,319,76.4375,66.46875
33,"Sun, Mar 4, 2018",furman,63,52,330,76.03030303030303,66.03030303030303
34,"Mon, Mar 5, 2018",north-carolina-greensboro,47,62,315,75.17647058823529,65.91176470588235
