G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",nebraska,68,72,-4,68.0,72.0
2,"Wed, Nov 15, 2017",western-illinois,54,56,-6,61.0,64.0
3,"Fri, Nov 17, 2017",iupui,80,79,-5,67.33333333333333,69.0
4,"Mon, Nov 20, 2017",san-diego-state,63,94,-36,66.25,75.25
5,"Fri, Nov 24, 2017",fontbonne,96,44,16,72.2,69.0
6,"Mon, Nov 27, 2017",marquette,83,86,13,74.0,71.83333333333333
7,"Fri, Dec 1, 2017",bradley,56,67,2,71.42857142857143,71.14285714285714
8,"Wed, Dec 6, 2017",green-bay,57,59,0,69.625,69.625
9,"Sat, Dec 16, 2017",south-alabama,52,63,-11,67.66666666666667,68.88888888888889
10,"Tue, Dec 19, 2017",western-illinois,78,77,-10,68.7,69.7
11,"Thu, Dec 21, 2017",st-francis-il,74,38,26,69.18181818181819,66.81818181818181
12,"Thu, Dec 28, 2017",murray-state,52,80,-2,67.75,67.91666666666667
13,"Sat, Dec 30, 2017",austin-peay,54,70,-18,66.6923076923077,68.07692307692308
14,"Thu, Jan 4, 2018",morehead-state,61,52,-9,66.28571428571429,66.92857142857143
15,"Sat, Jan 6, 2018",eastern-kentucky,54,53,-8,65.46666666666667,66.0
16,"Thu, Jan 11, 2018",tennessee-state,65,69,-12,65.4375,66.1875
17,"Sat, Jan 13, 2018",belmont,66,75,-21,65.47058823529412,66.70588235294117
18,"Thu, Jan 18, 2018",tennessee-martin,80,60,-1,66.27777777777777,66.33333333333333
19,"Sat, Jan 20, 2018",southeast-missouri-state,74,86,-13,66.6842105263158,67.36842105263158
20,"Thu, Jan 25, 2018",belmont,59,81,-35,66.3,68.05
21,"Sat, Jan 27, 2018",tennessee-state,47,50,-38,65.38095238095238,67.19047619047619
22,"Thu, Feb 1, 2018",jacksonville-state,56,75,-57,64.95454545454545,67.54545454545455
23,"Sat, Feb 3, 2018",tennessee-tech,79,71,-49,65.56521739130434,67.69565217391305
24,"Thu, Feb 8, 2018",southern-illinois-edwardsville,78,74,-45,66.08333333333333,67.95833333333333
25,"Sat, Feb 10, 2018",austin-peay,69,76,-52,66.2,68.28
26,"Thu, Feb 15, 2018",southeast-missouri-state,73,80,-59,66.46153846153847,68.73076923076923
27,"Sat, Feb 17, 2018",tennessee-martin,64,57,-52,66.37037037037037,68.29629629629629
28,"Thu, Feb 22, 2018",murray-state,66,76,-62,66.35714285714286,68.57142857142857
29,"Sat, Feb 24, 2018",southern-illinois-edwardsville,68,56,-50,66.41379310344827,68.13793103448276
G,Date,opponent,Tm,Opp,-50,66.41379310344827,68.13793103448276
30,"Wed, Feb 28, 2018",tennessee-state,73,71,-48,66.63333333333334,68.23333333333333
31,"Thu, Mar 1, 2018",austin-peay,66,73,-55,66.61290322580645,68.38709677419355
