G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",spring-arbor,92,60,32,92.0,60.0
2,"Sun, Nov 12, 2017",michigan-dearborn,97,73,56,94.5,66.5
3,"Thu, Nov 16, 2017",arkansas-state,76,59,73,88.33333333333333,64.0
4,"Sat, Nov 18, 2017",howard,76,66,83,85.25,64.5
5,"Fri, Nov 24, 2017",indiana,67,87,63,81.6,69.0
6,"Sun, Nov 26, 2017",south-florida,65,47,81,78.83333333333333,65.33333333333333
7,"Wed, Nov 29, 2017",north-florida,81,84,78,79.14285714285714,68.0
8,"Wed, Dec 6, 2017",oakland,95,89,84,81.125,70.625
9,"Sat, Dec 9, 2017",central-state-oh,80,65,99,81.0,70.0
10,"Sat, Dec 16, 2017",long-beach-state,85,80,104,81.4,71.0
11,"Fri, Dec 22, 2017",oakland,81,86,99,81.36363636363636,72.36363636363636
12,"Wed, Dec 27, 2017",syracuse,47,62,84,78.5,71.5
13,"Fri, Dec 29, 2017",rochester-mi,67,48,103,77.61538461538461,69.6923076923077
14,"Tue, Jan 2, 2018",ball-state,62,72,93,76.5,69.85714285714286
15,"Sat, Jan 6, 2018",bowling-green-state,71,75,89,76.13333333333334,70.2
16,"Tue, Jan 9, 2018",central-michigan,79,74,94,76.3125,70.4375
17,"Sat, Jan 13, 2018",northern-illinois,66,72,88,75.70588235294117,70.52941176470588
18,"Tue, Jan 16, 2018",akron,63,49,102,75.0,69.33333333333333
19,"Sat, Jan 20, 2018",ohio,66,72,96,74.52631578947368,69.47368421052632
20,"Tue, Jan 23, 2018",buffalo,69,83,82,74.25,70.15
21,"Sat, Jan 27, 2018",miami-oh,58,48,92,73.47619047619048,69.0952380952381
22,"Tue, Jan 30, 2018",western-michigan,57,71,78,72.72727272727273,69.18181818181819
23,"Sat, Feb 3, 2018",ball-state,58,41,95,72.08695652173913,67.95652173913044
24,"Tue, Feb 6, 2018",kent-state,71,67,99,72.04166666666667,67.91666666666667
25,"Sat, Feb 10, 2018",bowling-green-state,63,70,92,71.68,68.0
26,"Tue, Feb 13, 2018",miami-oh,58,57,93,71.15384615384616,67.57692307692308
27,"Sat, Feb 17, 2018",central-michigan,72,67,98,71.18518518518519,67.55555555555556
28,"Tue, Feb 20, 2018",toledo,85,79,104,71.67857142857143,67.96428571428571
29,"Sat, Feb 24, 2018",northern-illinois,82,53,133,72.03448275862068,67.44827586206897
30,"Tue, Feb 27, 2018",western-michigan,74,58,149,72.1,67.13333333333334
31,"Fri, Mar 2, 2018",toledo,71,69,151,72.06451612903226,67.19354838709677
G,Date,opponent,Tm,Opp,151,72.06451612903226,67.19354838709677
32,"Thu, Mar 8, 2018",akron,67,58,160,71.90625,66.90625
33,"Fri, Mar 9, 2018",toledo,63,64,159,71.63636363636364,66.81818181818181
G,Date,opponent,Tm,Opp,159,71.63636363636364,66.81818181818181
34,"Wed, Mar 14, 2018",niagara,83,65,177,71.97058823529412,66.76470588235294
35,"Mon, Mar 19, 2018",sam-houston-state,62,69,170,71.68571428571428,66.82857142857142
