G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",walla-walla,82,61,21,82.0,61.0
2,"Sun, Nov 12, 2017",washington,69,79,11,75.5,70.0
3,"Tue, Nov 14, 2017",stanford,67,61,17,72.66666666666667,67.0
4,"Fri, Nov 17, 2017",nevada-las-vegas,76,91,2,73.5,73.0
5,"Mon, Nov 20, 2017",georgia-state,50,68,-16,68.8,72.0
6,"Wed, Nov 22, 2017",eastern-kentucky,83,62,5,71.16666666666667,70.33333333333333
7,"Fri, Nov 24, 2017",utah,69,85,-11,70.85714285714286,72.42857142857143
8,"Sun, Dec 3, 2017",seattle,65,84,-30,70.125,73.875
9,"Thu, Dec 7, 2017",san-francisco,71,81,-40,70.22222222222223,74.66666666666667
10,"Sun, Dec 10, 2017",south-dakota,73,75,-42,70.5,74.7
11,"Tue, Dec 12, 2017",wyoming,88,93,-47,72.0909090909091,76.36363636363636
12,"Sun, Dec 17, 2017",cal-state-northridge,86,58,-19,73.25,74.83333333333333
13,"Wed, Dec 20, 2017",great-falls,94,66,9,74.84615384615384,74.15384615384616
14,"Fri, Dec 29, 2017",northern-colorado,75,88,-4,74.85714285714286,75.14285714285714
15,"Sun, Dec 31, 2017",north-dakota,77,64,9,75.0,74.4
16,"Thu, Jan 4, 2018",portland-state,81,74,16,75.375,74.375
17,"Sat, Jan 6, 2018",sacramento-state,82,67,31,75.76470588235294,73.94117647058823
18,"Fri, Jan 12, 2018",idaho,51,58,24,74.38888888888889,73.05555555555556
19,"Thu, Jan 18, 2018",northern-arizona,81,76,29,74.73684210526316,73.21052631578948
20,"Sat, Jan 20, 2018",southern-utah,62,66,25,74.1,72.85
21,"Thu, Jan 25, 2018",north-dakota,95,71,49,75.0952380952381,72.76190476190476
22,"Sat, Jan 27, 2018",northern-colorado,67,65,51,74.72727272727273,72.4090909090909
23,"Thu, Feb 1, 2018",sacramento-state,74,54,71,74.69565217391305,71.6086956521739
24,"Sat, Feb 3, 2018",portland-state,81,94,58,74.95833333333333,72.54166666666667
25,"Fri, Feb 9, 2018",idaho,64,66,56,74.52,72.28
26,"Thu, Feb 15, 2018",montana,74,65,65,74.5,72.0
27,"Sat, Feb 17, 2018",montana-state,84,79,70,74.85185185185185,72.25925925925925
28,"Thu, Feb 22, 2018",weber-state,75,70,75,74.85714285714286,72.17857142857143
29,"Sat, Feb 24, 2018",idaho-state,74,69,80,74.82758620689656,72.06896551724138
30,"Thu, Mar 1, 2018",southern-utah,74,51,103,74.8,71.36666666666666
31,"Sat, Mar 3, 2018",northern-arizona,85,68,120,75.12903225806451,71.25806451612904
G,Date,opponent,Tm,Opp,120,75.12903225806451,71.25806451612904
32,"Thu, Mar 8, 2018",portland-state,78,72,126,75.21875,71.28125
33,"Fri, Mar 9, 2018",southern-utah,82,70,138,75.42424242424242,71.24242424242425
34,"Sat, Mar 10, 2018",montana,65,82,121,75.11764705882354,71.55882352941177
G,Date,opponent,Tm,Opp,121,75.11764705882354,71.55882352941177
35,"Tue, Mar 13, 2018",utah-valley,65,87,99,74.82857142857142,72.0
