G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",duke 1,68,97,-29,68.0,97.0
2,"Sat, Nov 11, 2017",peace,96,53,14,82.0,75.0
3,"Tue, Nov 14, 2017",furman,67,76,5,77.0,75.33333333333333
4,"Fri, Nov 17, 2017",florida-international,95,87,13,81.5,78.25
5,"Sat, Nov 18, 2017",concordia-st-paul,84,62,35,82.0,75.0
6,"Sun, Nov 19, 2017",milwaukee,71,72,34,80.16666666666667,74.5
7,"Wed, Nov 22, 2017",radford,77,74,37,79.71428571428571,74.42857142857143
8,"Thu, Nov 30, 2017",south-florida,79,78,38,79.625,74.875
9,"Sat, Dec 2, 2017",saint-peters,71,65,44,78.66666666666667,73.77777777777777
10,"Thu, Dec 7, 2017",north-carolina-greensboro,44,75,13,75.2,73.9
11,"Sun, Dec 17, 2017",boston-university,77,69,21,75.36363636363636,73.45454545454545
12,"Tue, Dec 19, 2017",canisius,51,67,5,73.33333333333333,72.91666666666667
13,"Fri, Dec 22, 2017",indiana-state,73,68,10,73.3076923076923,72.53846153846153
14,"Sat, Dec 30, 2017",drexel,90,75,25,74.5,72.71428571428571
15,"Tue, Jan 2, 2018",towson,75,72,28,74.53333333333333,72.66666666666667
16,"Fri, Jan 5, 2018",northeastern,60,72,16,73.625,72.625
17,"Sun, Jan 7, 2018",hofstra,89,76,29,74.52941176470588,72.82352941176471
18,"Thu, Jan 11, 2018",north-carolina-wilmington,78,80,27,74.72222222222223,73.22222222222223
19,"Sat, Jan 13, 2018",college-of-charleston,63,58,32,74.10526315789474,72.42105263157895
20,"Thu, Jan 18, 2018",james-madison,74,85,21,74.1,73.05
21,"Sat, Jan 20, 2018",william-mary,73,80,14,74.04761904761905,73.38095238095238
22,"Thu, Jan 25, 2018",drexel,79,83,10,74.27272727272727,73.81818181818181
23,"Sat, Jan 27, 2018",towson,83,76,17,74.65217391304348,73.91304347826087
24,"Thu, Feb 1, 2018",william-mary,92,99,10,75.375,74.95833333333333
25,"Sat, Feb 3, 2018",delaware,89,76,23,75.92,75.0
26,"Thu, Feb 8, 2018",hofstra,48,67,4,74.84615384615384,74.6923076923077
27,"Thu, Feb 15, 2018",north-carolina-wilmington,63,87,-20,74.4074074074074,75.14814814814815
28,"Sat, Feb 17, 2018",delaware,57,72,-35,73.78571428571429,75.03571428571429
29,"Thu, Feb 22, 2018",college-of-charleston,58,79,-56,73.24137931034483,75.17241379310344
30,"Sat, Feb 24, 2018",northeastern,59,81,-78,72.76666666666667,75.36666666666666
31,"Mon, Feb 26, 2018",james-madison,84,90,-84,73.12903225806451,75.83870967741936
G,Date,opponent,Tm,Opp,-84,73.12903225806451,75.83870967741936
32,"Sat, Mar 3, 2018",delaware,79,86,-91,73.3125,76.15625
