G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",arkansas-state,77,63,14,77.0,63.0
2,"Mon, Nov 13, 2017",north-carolina-central,68,55,27,72.5,59.0
3,"Thu, Nov 16, 2017",southeast-missouri-state,66,50,43,70.33333333333333,56.0
4,"Sat, Nov 18, 2017",binghamton,66,61,48,69.25,57.25
5,"Tue, Nov 21, 2017",fresno-state,59,57,50,67.2,57.2
6,"Wed, Nov 22, 2017",louisiana-tech,61,63,48,66.16666666666667,58.166666666666664
7,"Wed, Nov 29, 2017",new-mexico,59,78,29,65.14285714285714,61.0
8,"Sat, Dec 2, 2017",oakland-city,98,56,71,69.25,60.375
9,"Tue, Dec 5, 2017",bowling-green-state,91,76,86,71.66666666666667,62.111111111111114
10,"Sat, Dec 9, 2017",canisius,65,58,93,71.0,61.7
11,"Sat, Dec 16, 2017",austin-peay,78,74,97,71.63636363636364,62.81818181818182
12,"Sun, Dec 17, 2017",midway,79,52,124,72.25,61.916666666666664
13,"Wed, Dec 20, 2017",duke 4,40,104,60,69.76923076923077,65.15384615384616
14,"Sat, Dec 23, 2017",illinois-state,66,72,54,69.5,65.64285714285714
15,"Sat, Dec 30, 2017",loyola-il,59,66,47,68.8,65.66666666666667
16,"Wed, Jan 3, 2018",southern-illinois,63,65,45,68.4375,65.625
17,"Sat, Jan 6, 2018",bradley,68,44,69,68.41176470588235,64.3529411764706
18,"Wed, Jan 10, 2018",missouri-state,64,55,78,68.16666666666667,63.833333333333336
19,"Sat, Jan 13, 2018",drake,65,81,62,68.0,64.73684210526316
20,"Wed, Jan 17, 2018",indiana-state,66,71,57,67.9,65.05
21,"Sat, Jan 20, 2018",bradley,53,66,44,67.19047619047619,65.0952380952381
22,"Wed, Jan 24, 2018",valparaiso,75,65,54,67.54545454545455,65.0909090909091
23,"Sat, Jan 27, 2018",drake,77,73,58,67.95652173913044,65.43478260869566
24,"Wed, Jan 31, 2018",northern-iowa,57,49,66,67.5,64.75
25,"Sat, Feb 3, 2018",illinois-state,71,75,62,67.64,65.16
26,"Wed, Feb 7, 2018",valparaiso,63,59,66,67.46153846153847,64.92307692307692
27,"Sat, Feb 10, 2018",missouri-state,55,72,49,67.0,65.18518518518519
28,"Tue, Feb 13, 2018",northern-iowa,41,47,43,66.07142857142857,64.53571428571429
29,"Sun, Feb 18, 2018",loyola-il,66,76,33,66.06896551724138,64.93103448275862
30,"Wed, Feb 21, 2018",indiana-state,53,58,28,65.63333333333334,64.7
31,"Sat, Feb 24, 2018",southern-illinois,75,44,59,65.93548387096774,64.03225806451613
G,Date,opponent,Tm,Opp,59,65.93548387096774,64.03225806451613
32,"Thu, Mar 1, 2018",northern-iowa,50,60,49,65.4375,63.90625
