G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",pennsylvania,80,72,8,80.0,72.0
2,"Tue, Nov 14, 2017",loyola-md,64,52,20,72.0,62.0
3,"Sat, Nov 18, 2017",purdue 19,64,106,-22,69.33333333333333,76.66666666666667
4,"Fri, Nov 24, 2017",jacksonville,84,92,-30,73.0,80.5
5,"Sat, Nov 25, 2017",gardner-webb,75,64,-19,73.4,77.2
6,"Sun, Nov 26, 2017",wright-state,56,57,-20,70.5,73.83333333333333
7,"Fri, Dec 1, 2017",wagner,76,78,-22,71.28571428571429,74.42857142857143
8,"Wed, Dec 6, 2017",houston,66,88,-44,70.625,76.125
9,"Sun, Dec 10, 2017",long-island-university,76,72,-40,71.22222222222223,75.66666666666667
10,"Sun, Dec 17, 2017",old-dominion,77,82,-45,71.8,76.3
11,"Fri, Dec 22, 2017",new-hampshire,78,68,-35,72.36363636363636,75.54545454545455
12,"Thu, Dec 28, 2017",saint-peters,70,61,-26,72.16666666666667,74.33333333333333
13,"Sat, Dec 30, 2017",manhattan,58,61,-29,71.07692307692308,73.3076923076923
14,"Fri, Jan 5, 2018",rider,77,96,-48,71.5,74.92857142857143
15,"Sun, Jan 7, 2018",iona,65,84,-67,71.06666666666666,75.53333333333333
16,"Thu, Jan 11, 2018",manhattan,53,59,-73,69.9375,74.5
17,"Sat, Jan 13, 2018",marist,89,95,-79,71.05882352941177,75.70588235294117
18,"Sat, Jan 20, 2018",niagara,104,85,-60,72.88888888888889,76.22222222222223
19,"Tue, Jan 23, 2018",rider,88,90,-62,73.6842105263158,76.94736842105263
20,"Sat, Jan 27, 2018",quinnipiac,70,75,-67,73.5,76.85
21,"Mon, Jan 29, 2018",iona,103,100,-64,74.9047619047619,77.95238095238095
22,"Fri, Feb 2, 2018",monmouth,79,78,-63,75.0909090909091,77.95454545454545
23,"Mon, Feb 5, 2018",siena,78,65,-50,75.21739130434783,77.3913043478261
24,"Sat, Feb 10, 2018",niagara,83,95,-62,75.54166666666667,78.125
25,"Mon, Feb 12, 2018",canisius,63,81,-80,75.04,78.24
26,"Thu, Feb 15, 2018",marist,83,79,-76,75.34615384615384,78.26923076923077
27,"Sat, Feb 17, 2018",quinnipiac,102,98,-72,76.33333333333333,79.0
28,"Wed, Feb 21, 2018",siena,70,69,-71,76.10714285714286,78.64285714285714
29,"Sat, Feb 24, 2018",monmouth,69,66,-68,75.86206896551724,78.20689655172414
G,Date,opponent,Tm,Opp,-68,75.86206896551724,78.20689655172414
30,"Thu, Mar 1, 2018",marist,71,57,-54,75.7,77.5
31,"Sat, Mar 3, 2018",niagara,90,77,-41,76.16129032258064,77.48387096774194
32,"Sun, Mar 4, 2018",quinnipiac,74,64,-31,76.09375,77.0625
33,"Mon, Mar 5, 2018",iona,71,83,-43,75.93939393939394,77.24242424242425
