G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",seton-hall 23,68,90,-22,68.0,90.0
2,"Sun, Nov 12, 2017",penn-state,57,81,-46,62.5,85.5
3,"Wed, Nov 15, 2017",fairleigh-dickinson-florham,111,49,16,78.66666666666667,73.33333333333333
4,"Sat, Nov 18, 2017",kean,94,55,55,82.5,68.75
5,"Wed, Nov 22, 2017",holy-cross,87,76,66,83.4,70.2
6,"Sun, Nov 26, 2017",princeton,76,83,59,82.16666666666667,72.33333333333333
7,"Wed, Nov 29, 2017",saint-peters,53,77,35,78.0,73.0
8,"Sat, Dec 2, 2017",iona,75,82,28,77.625,74.125
9,"Sat, Dec 9, 2017",rutgers,54,92,-10,75.0,76.11111111111111
10,"Sat, Dec 16, 2017",njit,68,71,-13,74.3,75.6
11,"Thu, Dec 21, 2017",maryland,50,75,-38,72.0909090909091,75.54545454545455
12,"Fri, Dec 29, 2017",long-island-university,82,71,-27,72.91666666666667,75.16666666666667
13,"Sun, Dec 31, 2017",sacred-heart,65,66,-28,72.3076923076923,74.46153846153847
14,"Thu, Jan 4, 2018",central-connecticut-state,81,77,-24,72.92857142857143,74.64285714285714
15,"Sat, Jan 6, 2018",wagner,65,73,-32,72.4,74.53333333333333
16,"Thu, Jan 11, 2018",long-island-university,85,90,-37,73.1875,75.5
17,"Sat, Jan 13, 2018",robert-morris,75,81,-43,73.29411764705883,75.82352941176471
18,"Thu, Jan 18, 2018",central-connecticut-state,65,66,-44,72.83333333333333,75.27777777777777
19,"Sat, Jan 20, 2018",mount-st-marys,73,72,-43,72.84210526315789,75.10526315789474
20,"Thu, Jan 25, 2018",st-francis-ny,70,76,-49,72.7,75.15
21,"Sat, Jan 27, 2018",bryant,89,78,-38,73.47619047619048,75.28571428571429
22,"Thu, Feb 1, 2018",saint-francis-pa,60,74,-52,72.86363636363636,75.22727272727273
23,"Sat, Feb 3, 2018",robert-morris,73,67,-46,72.8695652173913,74.8695652173913
24,"Thu, Feb 8, 2018",sacred-heart,77,67,-36,73.04166666666667,74.54166666666667
25,"Sun, Feb 11, 2018",wagner,76,69,-29,73.16,74.32
26,"Thu, Feb 15, 2018",mount-st-marys,80,79,-28,73.42307692307692,74.5
27,"Sat, Feb 17, 2018",st-francis-ny,74,87,-41,73.44444444444444,74.96296296296296
28,"Thu, Feb 22, 2018",saint-francis-pa,82,90,-49,73.75,75.5
29,"Sat, Feb 24, 2018",bryant,87,83,-45,74.20689655172414,75.75862068965517
G,Date,opponent,Tm,Opp,-45,74.20689655172414,75.75862068965517
30,"Wed, Feb 28, 2018",saint-francis-pa,84,75,-36,74.53333333333333,75.73333333333333
31,"Sat, Mar 3, 2018",long-island-university,77,78,-37,74.61290322580645,75.80645161290323
