G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",grand-canyon,51,67,-16,51.0,67.0
2,"Sat, Nov 11, 2017",nevada-las-vegas,66,108,-58,58.5,87.5
3,"Thu, Nov 16, 2017",miami-fl 11,59,90,-89,58.666666666666664,88.33333333333333
4,"Sat, Nov 18, 2017",mississippi-state,48,79,-120,56.0,86.0
5,"Mon, Nov 20, 2017",albany-state-ga,77,59,-102,60.2,80.6
6,"Wed, Nov 22, 2017",north-dakota-state,66,80,-116,61.166666666666664,80.5
7,"Fri, Nov 24, 2017",green-bay,50,57,-123,59.57142857142857,77.14285714285714
8,"Sun, Nov 26, 2017",stephen-f-austin,63,79,-139,60.0,77.375
9,"Wed, Nov 29, 2017",texas,58,82,-163,59.77777777777778,77.88888888888889
10,"Sat, Dec 2, 2017",murray-state,59,80,-184,59.7,78.1
11,"Sat, Dec 9, 2017",mercer,64,82,-202,60.09090909090909,78.45454545454545
12,"Mon, Dec 11, 2017",north-florida,89,101,-214,62.5,80.33333333333333
13,"Thu, Dec 14, 2017",southern,50,68,-232,61.53846153846154,79.38461538461539
14,"Sun, Dec 17, 2017",georgia-tech,54,79,-257,61.0,79.35714285714286
15,"Thu, Dec 21, 2017",fordham,69,79,-267,61.53333333333333,79.33333333333333
16,"Fri, Dec 29, 2017",ball-state,54,75,-288,61.0625,79.0625
17,"Wed, Jan 3, 2018",howard,84,76,-280,62.411764705882355,78.88235294117646
18,"Sat, Jan 6, 2018",morgan-state,68,87,-299,62.72222222222222,79.33333333333333
19,"Mon, Jan 8, 2018",coppin-state,78,79,-300,63.526315789473685,79.3157894736842
20,"Sat, Jan 13, 2018",bethune-cookman,81,99,-318,64.4,80.3
21,"Mon, Jan 15, 2018",delaware-state,94,89,-313,65.80952380952381,80.71428571428571
22,"Sat, Jan 27, 2018",hampton,75,71,-309,66.22727272727273,80.27272727272727
23,"Mon, Jan 29, 2018",norfolk-state,71,80,-318,66.43478260869566,80.26086956521739
24,"Wed, Jan 31, 2018",savannah-state,100,107,-325,67.83333333333333,81.375
25,"Sat, Feb 3, 2018",howard,80,83,-328,68.32,81.44
26,"Mon, Feb 5, 2018",maryland-eastern-shore,61,62,-329,68.03846153846153,80.6923076923077
27,"Sat, Feb 10, 2018",north-carolina-central,65,56,-320,67.92592592592592,79.77777777777777
28,"Mon, Feb 12, 2018",morgan-state,48,74,-346,67.21428571428571,79.57142857142857
29,"Sat, Feb 17, 2018",delaware-state,66,63,-343,67.17241379310344,79.0
30,"Sat, Feb 24, 2018",north-carolina-at,83,77,-337,67.7,78.93333333333334
31,"Mon, Feb 26, 2018",south-carolina-state,76,74,-335,67.96774193548387,78.7741935483871
32,"Thu, Mar 1, 2018",bethune-cookman,77,89,-347,68.25,79.09375
G,Date,opponent,Tm,Opp,-347,68.25,79.09375
33,"Tue, Mar 6, 2018",howard,88,78,-337,68.84848484848484,79.06060606060606
34,"Wed, Mar 7, 2018",hampton,71,75,-341,68.91176470588235,78.94117647058823
