G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",south-florida,59,60,-1,59.0,60.0
2,"Thu, Nov 16, 2017",edward-waters,91,59,31,75.0,59.5
3,"Mon, Nov 20, 2017",towson,52,76,7,67.33333333333333,65.0
4,"Tue, Nov 21, 2017",northern-illinois,77,67,17,69.75,65.5
5,"Wed, Nov 22, 2017",missouri-state,60,71,6,67.8,66.6
6,"Tue, Nov 28, 2017",ave-maria,91,54,43,71.66666666666667,64.5
7,"Sat, Dec 2, 2017",bethune-cookman,93,75,61,74.71428571428571,66.0
8,"Tue, Dec 5, 2017",florida-gulf-coast,92,88,65,76.875,68.75
9,"Sun, Dec 10, 2017",webber,106,46,125,80.11111111111111,66.22222222222223
10,"Sat, Dec 16, 2017",arkansas-state,63,64,124,78.4,66.0
11,"Tue, Dec 19, 2017",texas-tech 22,54,90,88,76.18181818181819,68.18181818181819
12,"Sat, Dec 23, 2017",minnesota,60,95,53,74.83333333333333,70.41666666666667
13,"Sat, Dec 30, 2017",florida-international,57,58,52,73.46153846153847,69.46153846153847
14,"Thu, Jan 4, 2018",alabama-birmingham,44,75,21,71.35714285714286,69.85714285714286
15,"Sat, Jan 6, 2018",middle-tennessee,57,61,17,70.4,69.26666666666667
16,"Thu, Jan 11, 2018",texas-el-paso,73,66,24,70.5625,69.0625
17,"Sat, Jan 13, 2018",texas-san-antonio,73,69,28,70.70588235294117,69.05882352941177
18,"Thu, Jan 18, 2018",charlotte,75,64,39,70.94444444444444,68.77777777777777
19,"Sat, Jan 20, 2018",old-dominion,62,73,28,70.47368421052632,69.0
20,"Thu, Jan 25, 2018",north-texas,53,59,22,69.6,68.5
21,"Sat, Jan 27, 2018",rice,63,62,23,69.28571428571429,68.19047619047619
22,"Thu, Feb 1, 2018",louisiana-tech,62,67,18,68.95454545454545,68.13636363636364
23,"Sat, Feb 3, 2018",southern-mississippi,66,77,7,68.82608695652173,68.52173913043478
24,"Thu, Feb 8, 2018",western-kentucky,63,75,-5,68.58333333333333,68.79166666666667
25,"Sat, Feb 10, 2018",marshall,68,79,-16,68.56,69.2
26,"Sat, Feb 17, 2018",florida-international,77,72,-11,68.88461538461539,69.3076923076923
27,"Thu, Feb 22, 2018",rice,76,79,-14,69.14814814814815,69.66666666666667
28,"Sat, Feb 24, 2018",north-texas,74,54,6,69.32142857142857,69.10714285714286
29,"Thu, Mar 1, 2018",old-dominion,64,69,1,69.13793103448276,69.10344827586206
30,"Sat, Mar 3, 2018",charlotte,78,85,-6,69.43333333333334,69.63333333333334
G,Date,opponent,Tm,Opp,-6,69.43333333333334,69.63333333333334
31,"Wed, Mar 7, 2018",alabama-birmingham,72,83,-17,69.51612903225806,70.06451612903226
