G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",illinois-state,98,87,11,98.0,87.0
2,"Mon, Nov 13, 2017",siena,86,53,44,92.0,70.0
3,"Sat, Nov 18, 2017",bowling-green-state,80,83,41,88.0,74.33333333333333
4,"Tue, Nov 21, 2017",middle-tennessee,72,85,28,84.0,77.0
5,"Fri, Nov 24, 2017",denver,79,71,36,83.0,75.8
6,"Sat, Nov 25, 2017",navy,70,54,52,80.83333333333333,72.16666666666667
7,"Sun, Nov 26, 2017",st-francis-ny,75,51,76,80.0,69.14285714285714
8,"Wed, Nov 29, 2017",webber,115,61,130,84.375,68.125
9,"Sat, Dec 2, 2017",middle-tennessee,76,81,125,83.44444444444444,69.55555555555556
10,"Tue, Dec 5, 2017",florida-atlantic,88,92,121,83.9,71.8
11,"Sat, Dec 9, 2017",texas-arlington,85,78,128,84.0,72.36363636363636
12,"Sat, Dec 16, 2017",oral-roberts,64,83,109,82.33333333333333,73.25
13,"Tue, Dec 19, 2017",florida-international,88,91,106,82.76923076923077,74.61538461538461
14,"Fri, Dec 22, 2017",wichita-state 11,65,75,96,81.5,74.64285714285714
15,"Wed, Dec 27, 2017",rhode-island,60,80,76,80.06666666666666,75.0
16,"Fri, Dec 29, 2017",florida-memorial,76,42,110,79.8125,72.9375
17,"Sun, Dec 31, 2017",florida-tech,62,54,118,78.76470588235294,71.82352941176471
18,"Sat, Jan 6, 2018",stetson,90,52,156,79.38888888888889,70.72222222222223
19,"Thu, Jan 11, 2018",south-carolina-upstate,75,58,173,79.15789473684211,70.05263157894737
20,"Sat, Jan 13, 2018",njit,68,54,187,78.6,69.25
21,"Thu, Jan 18, 2018",lipscomb,88,83,192,79.04761904761905,69.9047619047619
22,"Sat, Jan 20, 2018",kennesaw-state,66,49,209,78.45454545454545,68.95454545454545
23,"Wed, Jan 24, 2018",north-florida,96,87,218,79.21739130434783,69.73913043478261
24,"Sat, Jan 27, 2018",jacksonville,68,62,224,78.75,69.41666666666667
25,"Mon, Jan 29, 2018",north-florida,103,70,257,79.72,69.44
26,"Sat, Feb 3, 2018",jacksonville,80,55,282,79.73076923076923,68.88461538461539
27,"Thu, Feb 8, 2018",njit,75,70,287,79.55555555555556,68.92592592592592
28,"Sat, Feb 10, 2018",south-carolina-upstate,88,71,304,79.85714285714286,69.0
29,"Thu, Feb 15, 2018",kennesaw-state,93,97,300,80.3103448275862,69.96551724137932
30,"Sat, Feb 17, 2018",lipscomb,87,90,297,80.53333333333333,70.63333333333334
31,"Thu, Feb 22, 2018",stetson,76,60,313,80.38709677419355,70.29032258064517
G,Date,opponent,Tm,Opp,313,80.38709677419355,70.29032258064517
32,"Mon, Feb 26, 2018",south-carolina-upstate,96,76,333,80.875,70.46875
33,"Thu, Mar 1, 2018",north-florida,95,72,356,81.3030303030303,70.51515151515152
34,"Sun, Mar 4, 2018",lipscomb,96,108,344,81.73529411764706,71.61764705882354
G,Date,opponent,Tm,Opp,344,81.73529411764706,71.61764705882354
35,"Tue, Mar 13, 2018",oklahoma-state,68,80,332,81.34285714285714,71.85714285714286
