G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",florida-memorial,70,47,23,70.0,47.0
2,"Sun, Nov 12, 2017",stetson,64,70,17,67.0,58.5
3,"Fri, Nov 17, 2017",elon,87,95,9,73.66666666666667,70.66666666666667
4,"Sat, Nov 18, 2017",milwaukee,51,66,-6,68.0,69.5
5,"Sun, Nov 19, 2017",concordia-st-paul,77,67,4,69.8,69.0
6,"Mon, Nov 27, 2017",south-carolina,61,78,-13,68.33333333333333,70.5
7,"Wed, Nov 29, 2017",florida-national-university,79,61,5,69.85714285714286,69.14285714285714
8,"Sat, Dec 2, 2017",south-alabama,87,58,34,72.0,67.75
9,"Mon, Dec 11, 2017",south-florida,65,53,46,71.22222222222223,66.11111111111111
10,"Wed, Dec 13, 2017",north-florida,85,87,44,72.6,68.2
11,"Sat, Dec 16, 2017",james-madison,67,76,35,72.0909090909091,68.9090909090909
12,"Tue, Dec 19, 2017",florida-gulf-coast,91,88,38,73.66666666666667,70.5
13,"Fri, Dec 22, 2017",hartford,72,79,31,73.53846153846153,71.15384615384616
14,"Sat, Dec 30, 2017",florida-atlantic,58,57,32,72.42857142857143,70.14285714285714
15,"Thu, Jan 4, 2018",middle-tennessee,66,71,27,72.0,70.2
16,"Sat, Jan 6, 2018",alabama-birmingham,64,75,16,71.5,70.5
17,"Thu, Jan 11, 2018",texas-san-antonio,79,76,19,71.94117647058823,70.82352941176471
18,"Sat, Jan 13, 2018",texas-el-paso,68,72,15,71.72222222222223,70.88888888888889
19,"Thu, Jan 18, 2018",old-dominion,54,64,5,70.78947368421052,70.52631578947368
20,"Sat, Jan 20, 2018",charlotte,79,59,25,71.2,69.95
21,"Thu, Jan 25, 2018",rice,64,73,16,70.85714285714286,70.0952380952381
22,"Sat, Jan 27, 2018",north-texas,67,69,14,70.68181818181819,70.04545454545455
23,"Thu, Feb 1, 2018",southern-mississippi,76,70,20,70.91304347826087,70.04347826086956
24,"Sat, Feb 3, 2018",louisiana-tech,71,68,23,70.91666666666667,69.95833333333333
25,"Thu, Feb 8, 2018",marshall,66,76,13,70.72,70.2
26,"Sat, Feb 10, 2018",western-kentucky,76,83,6,70.92307692307692,70.6923076923077
27,"Sat, Feb 17, 2018",florida-atlantic,72,77,1,70.96296296296296,70.92592592592592
28,"Thu, Feb 22, 2018",north-texas,69,68,2,70.89285714285714,70.82142857142857
29,"Sat, Feb 24, 2018",rice,67,64,5,70.75862068965517,70.58620689655173
30,"Thu, Mar 1, 2018",charlotte,89,83,11,71.36666666666666,71.0
31,"Sat, Mar 3, 2018",old-dominion,53,79,-15,70.7741935483871,71.25806451612904
G,Date,opponent,Tm,Opp,-15,70.7741935483871,71.25806451612904
32,"Wed, Mar 7, 2018",southern-mississippi,68,69,-16,70.6875,71.1875
