G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Tue, Nov 14, 2017",george-washington,87,67,20,87.0,67.0
2,"Fri, Nov 17, 2017",fordham,67,43,44,77.0,55.0
3,"Sun, Nov 19, 2017",colorado-state,90,73,61,81.33333333333333,61.0
4,"Wed, Nov 22, 2017",kennesaw-state,98,79,80,85.5,65.5
5,"Fri, Nov 24, 2017",citadel,113,78,115,91.0,68.0
6,"Tue, Nov 28, 2017",rutgers,78,73,120,88.83333333333333,68.83333333333333
7,"Mon, Dec 4, 2017",florida 5,83,66,137,88.0,68.42857142857143
8,"Wed, Dec 6, 2017",loyola-md,96,71,162,89.0,68.75
9,"Sun, Dec 10, 2017",tulane,72,53,181,87.11111111111111,67.0
10,"Sat, Dec 16, 2017",oklahoma-state,70,71,180,85.4,67.4
11,"Mon, Dec 18, 2017",charleston-southern,69,58,191,83.9090909090909,66.54545454545455
12,"Thu, Dec 21, 2017",southern-mississippi,98,45,244,85.08333333333333,64.75
13,"Sat, Dec 30, 2017",duke 4,93,100,237,85.6923076923077,67.46153846153847
14,"Wed, Jan 3, 2018",north-carolina 12,81,80,238,85.35714285714286,68.35714285714286
15,"Sun, Jan 7, 2018",miami-fl 15,74,80,232,84.6,69.13333333333334
16,"Wed, Jan 10, 2018",louisville,69,73,228,83.625,69.375
17,"Sat, Jan 13, 2018",syracuse,101,90,239,84.6470588235294,70.58823529411765
18,"Mon, Jan 15, 2018",boston-college,75,81,233,84.11111111111111,71.16666666666667
19,"Sat, Jan 20, 2018",virginia-tech,91,82,242,84.47368421052632,71.73684210526316
20,"Wed, Jan 24, 2018",georgia-tech,88,77,253,84.65,72.0
21,"Sat, Jan 27, 2018",miami-fl,103,94,262,85.52380952380952,73.04761904761905
22,"Wed, Jan 31, 2018",wake-forest,72,76,258,84.9090909090909,73.18181818181819
23,"Sat, Feb 3, 2018",louisville,80,76,262,84.69565217391305,73.30434782608695
24,"Wed, Feb 7, 2018",virginia 2,55,59,258,83.45833333333333,72.70833333333333
25,"Sat, Feb 10, 2018",notre-dame,69,84,243,82.88,73.16
26,"Wed, Feb 14, 2018",clemson 11,81,79,245,82.8076923076923,73.38461538461539
27,"Sun, Feb 18, 2018",pittsburgh,88,75,258,83.0,73.44444444444444
28,"Sun, Feb 25, 2018",north-carolina-state,72,92,238,82.60714285714286,74.10714285714286
29,"Wed, Feb 28, 2018",clemson 18,63,76,225,81.93103448275862,74.17241379310344
30,"Sat, Mar 3, 2018",boston-college,85,76,234,82.03333333333333,74.23333333333333
G,Date,opponent,Tm,Opp,234,82.03333333333333,74.23333333333333
31,"Wed, Mar 7, 2018",louisville,74,82,226,81.7741935483871,74.48387096774194
G,Date,opponent,Tm,Opp,226,81.7741935483871,74.48387096774194
32,"Fri, Mar 16, 2018",missouri,67,54,239,81.3125,73.84375
33,"Sun, Mar 18, 2018",xavier 3,75,70,244,81.12121212121212,73.72727272727273
34,"Thu, Mar 22, 2018",gonzaga 8,75,60,259,80.94117647058823,73.32352941176471
35,"Sat, Mar 24, 2018",michigan 7,54,58,255,80.17142857142858,72.88571428571429
