G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Mon, Nov 13, 2017",gardner-webb,116,74,42,116.0,74.0
2,"Thu, Nov 16, 2017",north-florida,108,68,82,112.0,71.0
3,"Sun, Nov 19, 2017",new-hampshire,70,63,89,98.0,68.33333333333333
4,"Thu, Nov 23, 2017",stanford,108,87,110,100.5,73.0
5,"Fri, Nov 24, 2017",gonzaga 17,111,105,116,102.6,79.4
6,"Sun, Nov 26, 2017",duke 1,84,87,113,99.5,80.66666666666667
7,"Mon, Dec 4, 2017",florida-state,66,83,96,94.71428571428571,81.0
8,"Wed, Dec 6, 2017",loyola-il,59,65,90,90.25,79.0
9,"Sat, Dec 9, 2017",cincinnati 17,66,60,96,87.55555555555556,76.88888888888889
10,"Sat, Dec 16, 2017",clemson,69,71,94,85.7,76.3
11,"Wed, Dec 20, 2017",james-madison,72,63,103,84.45454545454545,75.0909090909091
12,"Fri, Dec 22, 2017",incarnate-word,75,60,118,83.66666666666667,73.83333333333333
13,"Sat, Dec 30, 2017",vanderbilt,81,74,125,83.46153846153847,73.84615384615384
14,"Tue, Jan 2, 2018",texas-am 11,83,66,142,83.42857142857143,73.28571428571429
15,"Sat, Jan 6, 2018",missouri,77,75,144,83.0,73.4
16,"Wed, Jan 10, 2018",mississippi-state,71,54,161,82.25,72.1875
17,"Sat, Jan 13, 2018",mississippi,72,78,155,81.6470588235294,72.52941176470588
18,"Wed, Jan 17, 2018",arkansas,88,73,170,82.0,72.55555555555556
19,"Sat, Jan 20, 2018",kentucky 18,66,64,172,81.15789473684211,72.10526315789474
20,"Wed, Jan 24, 2018",south-carolina,72,77,167,80.7,72.35
21,"Sat, Jan 27, 2018",baylor,81,60,188,80.71428571428571,71.76190476190476
22,"Tue, Jan 30, 2018",georgia,60,72,176,79.77272727272727,71.77272727272727
23,"Sat, Feb 3, 2018",alabama,50,68,158,78.47826086956522,71.6086956521739
24,"Wed, Feb 7, 2018",louisiana-state,73,64,167,78.25,71.29166666666667
25,"Sat, Feb 10, 2018",south-carolina,65,41,191,77.72,70.08
26,"Wed, Feb 14, 2018",georgia,69,72,188,77.38461538461539,70.15384615384616
27,"Sat, Feb 17, 2018",vanderbilt,68,71,185,77.03703703703704,70.18518518518519
28,"Wed, Feb 21, 2018",tennessee 19,57,62,180,76.32142857142857,69.89285714285714
29,"Sat, Feb 24, 2018",auburn 12,72,66,186,76.17241379310344,69.75862068965517
30,"Tue, Feb 27, 2018",alabama,73,52,207,76.06666666666666,69.16666666666667
31,"Sat, Mar 3, 2018",kentucky 23,80,67,220,76.19354838709677,69.09677419354838
G,Date,opponent,Tm,Opp,220,76.19354838709677,69.09677419354838
32,"Fri, Mar 9, 2018",arkansas,72,80,212,76.0625,69.4375
G,Date,opponent,Tm,Opp,212,76.0625,69.4375
33,"Thu, Mar 15, 2018",st-bonaventure,77,62,227,76.0909090909091,69.21212121212122
34,"Sat, Mar 17, 2018",texas-tech 14,66,69,224,75.79411764705883,69.20588235294117
