G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",miami-oh,54,55,-1,54.0,55.0
2,"Mon, Nov 13, 2017",long-island-university,81,68,12,67.5,61.5
3,"Fri, Nov 17, 2017",florida-state,43,67,-12,59.333333333333336,63.333333333333336
4,"Sun, Nov 19, 2017",tulane,55,63,-20,58.25,63.25
5,"Sun, Nov 26, 2017",manhattan,70,57,-7,60.6,62.0
6,"Wed, Nov 29, 2017",east-tennessee-state,77,82,-12,63.333333333333336,65.33333333333333
7,"Sat, Dec 2, 2017",maine,67,66,-11,63.857142857142854,65.42857142857143
8,"Wed, Dec 6, 2017",harvard,45,47,-13,61.5,63.125
9,"Sat, Dec 9, 2017",st-francis-ny,76,68,-5,63.111111111111114,63.666666666666664
10,"Tue, Dec 12, 2017",rutgers,63,75,-17,63.1,64.8
11,"Thu, Dec 21, 2017",florida-am,79,69,-7,64.54545454545455,65.18181818181819
12,"Sat, Dec 23, 2017",west-virginia 10,69,86,-24,64.91666666666667,66.91666666666667
13,"Sat, Dec 30, 2017",virginia-commonwealth,63,76,-37,64.76923076923077,67.61538461538461
14,"Wed, Jan 3, 2018",richmond,69,65,-33,65.07142857142857,67.42857142857143
15,"Sat, Jan 6, 2018",duquesne,41,64,-56,63.46666666666667,67.2
16,"Wed, Jan 10, 2018",st-bonaventure,61,77,-72,63.3125,67.8125
17,"Sun, Jan 14, 2018",davidson,45,75,-102,62.23529411764706,68.23529411764706
18,"Wed, Jan 17, 2018",la-salle,67,75,-110,62.5,68.61111111111111
19,"Sat, Jan 20, 2018",saint-josephs,46,68,-132,61.63157894736842,68.57894736842105
20,"Wed, Jan 24, 2018",rhode-island 24,58,78,-152,61.45,69.05
21,"Sat, Jan 27, 2018",massachusetts,82,69,-139,62.42857142857143,69.04761904761905
22,"Sat, Feb 3, 2018",saint-louis,50,73,-162,61.86363636363637,69.22727272727273
23,"Wed, Feb 7, 2018",george-mason,67,66,-161,62.08695652173913,69.08695652173913
24,"Sat, Feb 10, 2018",duquesne,80,57,-138,62.833333333333336,68.58333333333333
25,"Wed, Feb 14, 2018",saint-josephs,55,71,-154,62.52,68.68
26,"Sat, Feb 17, 2018",dayton,70,80,-164,62.80769230769231,69.11538461538461
27,"Wed, Feb 21, 2018",davidson,52,76,-188,62.407407407407405,69.37037037037037
28,"Sat, Feb 24, 2018",la-salle,60,73,-201,62.32142857142857,69.5
29,"Wed, Feb 28, 2018",george-washington,56,72,-217,62.10344827586207,69.58620689655173
30,"Sat, Mar 3, 2018",virginia-commonwealth,58,83,-242,61.96666666666667,70.03333333333333
G,Date,opponent,Tm,Opp,-242,61.96666666666667,70.03333333333333
31,"Wed, Mar 7, 2018",george-washington,72,78,-248,62.29032258064516,70.29032258064517
