G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",california-santa-cruz,96,65,31,96.0,65.0
2,"Mon, Nov 13, 2017",cal-state-northridge,89,73,47,92.5,69.0
3,"Fri, Nov 17, 2017",arkansas,75,83,39,86.66666666666667,73.66666666666667
4,"Tue, Nov 21, 2017",evansville,57,59,37,79.25,70.0
5,"Wed, Nov 22, 2017",george-mason,79,73,43,79.2,70.6
6,"Sun, Nov 26, 2017",montana-state,80,67,56,79.33333333333333,70.0
7,"Thu, Nov 30, 2017",weber-state,83,71,68,79.85714285714286,70.14285714285714
8,"Sat, Dec 2, 2017",long-beach-state,106,70,104,83.125,70.125
9,"Tue, Dec 5, 2017",cal-state-bakersfield,70,55,119,81.66666666666667,68.44444444444444
10,"Sat, Dec 9, 2017",cal-poly,83,63,139,81.8,67.9
11,"Wed, Dec 13, 2017",arkansas-pine-bluff,78,52,165,81.45454545454545,66.45454545454545
12,"Sat, Dec 16, 2017",oregon,61,68,158,79.75,66.58333333333333
13,"Mon, Dec 18, 2017",cal-state-monterey-bay,93,56,195,80.76923076923077,65.76923076923077
14,"Wed, Dec 27, 2017",nevada,65,80,180,79.64285714285714,66.78571428571429
15,"Sat, Dec 30, 2017",air-force,71,59,192,79.06666666666666,66.26666666666667
16,"Wed, Jan 3, 2018",utah-state,79,81,190,79.0625,67.1875
17,"Sat, Jan 6, 2018",colorado-state,82,79,193,79.23529411764706,67.88235294117646
18,"Tue, Jan 9, 2018",boise-state,64,70,187,78.38888888888889,68.0
19,"Sat, Jan 13, 2018",new-mexico,89,80,196,78.94736842105263,68.63157894736842
20,"Wed, Jan 17, 2018",san-diego-state,77,73,200,78.85,68.85
21,"Tue, Jan 23, 2018",nevada-las-vegas,69,63,206,78.38095238095238,68.57142857142857
22,"Sat, Jan 27, 2018",utah-state,62,65,203,77.63636363636364,68.4090909090909
23,"Wed, Jan 31, 2018",nevada,92,102,193,78.26086956521739,69.8695652173913
24,"Sat, Feb 3, 2018",wyoming,80,62,211,78.33333333333333,69.54166666666667
25,"Tue, Feb 6, 2018",san-diego-state,79,61,229,78.36,69.2
26,"Wed, Feb 14, 2018",san-jose-state,77,57,249,78.3076923076923,68.73076923076923
27,"Sat, Feb 17, 2018",colorado-state,86,65,270,78.5925925925926,68.5925925925926
28,"Wed, Feb 21, 2018",nevada-las-vegas,77,64,283,78.53571428571429,68.42857142857143
29,"Sat, Feb 24, 2018",wyoming,68,78,273,78.17241379310344,68.75862068965517
30,"Mon, Feb 26, 2018",air-force,54,48,279,77.36666666666666,68.06666666666666
31,"Sat, Mar 3, 2018",new-mexico,86,95,270,77.64516129032258,68.93548387096774
G,Date,opponent,Tm,Opp,270,77.64516129032258,68.93548387096774
32,"Thu, Mar 8, 2018",san-diego-state,52,64,258,76.84375,68.78125
